id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
11,"A project manager is analyzing quality issues reported during the
testing phase of a software development project. Over the past month,
the team has documented 47 different types of defects. The project
manager wants to identify which defect types should be prioritized for
corrective action to have the greatest impact on overall quality
improvement. What analysis method should the project manager use?",Monte Carlo simulation to predict the probability of future defects,"Pareto analysis to identify the defects causing the most significant
problems",Sensitivity analysis to determine which defects impact the schedule most,"Root cause analysis to identify the underlying causes of all defect
types",,2,,"Pareto analysis applies the 80/20 rule to identify the vital few causes
that account for the majority of problems. By analyzing the frequency
and impact of the 47 defect types, the project manager can identify
which small number of defect types are responsible for most quality
issues. This enables targeted corrective action on the defects that will
provide the greatest quality improvement, making the most efficient use
of resources.","Monte Carlo simulation is used for schedule and cost risk analysis
through probabilistic modeling, not for prioritizing existing quality
issues based on their frequency or impact.",,"Sensitivity analysis examines how changes in one variable affect project
outcomes, which doesn\'t address the need to prioritize among multiple
defect types based on their significance.","Root cause analysis identifies underlying causes of specific problems
but doesn\'t help prioritize which of the 47 defect types should be
addressed first based on their relative impact.",,760_questions.txt
12,"A project manager is overseeing a hospital equipment installation
project that is currently two weeks behind schedule. The contract
includes significant financial penalties for late completion, and the
client has made it clear they cannot accept any delays beyond the
current two-week variance. The project manager needs to bring the
project back on schedule. What should the project manager do to address this schedule delay?","Fast-track the remaining activities by performing tasks in parallel that
were planned sequentially","Negotiate with the client for a revised completion date to avoid the
financial penalties",Crash the project,"Remove lower-priority deliverables from the project scope to reduce the
overall timeline",,3,,"Crashing is a schedule compression technique that involves adding
resources to critical path activities to reduce their duration and bring
the project back on schedule. This approach typically increases project
costs but can be justified when late delivery penalties exceed the
additional resource costs. By focusing additional resources on critical
path activities, the project manager can recover the two-week delay and
meet the contractual deadline.","Fast-tracking involves performing activities in parallel but increases
project risk through potential rework and may not be feasible if
activities have mandatory dependencies or technical constraints.","Negotiating a revised completion date doesn\'t address the schedule
recovery need and would still result in the financial penalties the
project manager is trying to avoid.",,"Removing scope may not be acceptable to the client and doesn\'t address
the root issue of schedule recovery for the agreed-upon deliverables
covered by the contract.",,760_questions.txt
13,"For an IT project your EV = \$130,500, PV = \$125,500, and AC =
\$129,000. Which one of the following statements is TRUE?",The project is behind schedule and over budget.,The project is ahead of schedule and under budget.,The project is behind schedule and under budget.,The project is ahead of schedule and over budget.,,2,,"The EV is greater than the PV, which indicates the project is ahead of
schedule. The AC is smaller than the EV, which indicates the project is
under budget.",,,,,,760_questions.txt
14,"You recently took over a project from another project manager who left
the organization. You find out that the project has a BAC = \$45,000, PV
= \$30,000, cumulative AC = \$25,000, and cumulative EV = \$24,000. You
decided to perform a forecasting analysis and calculated the values for
EAC, ETC, TCPI, and VAC. Which of the following is NOT true?","You will need \$21,875 more to complete this project.","The project will cost \$46,875.",The project performance is not good as TCPI is 1.05.,"The project will be under budget by \$1,875.",,4,,"We are given the following values: BAC = \$45,000 PV = \$30,000
Cumulative AC = 25,000 Cumulative EV = 24,000 We know EAC = BAC/CPIc ETC
= EAC -- AC VAC = BAC -- EAC and TCPI = (BAC -- EV) / (BAC -- AC) CPIc =
EVc/ACc Thus CPIc = \$24,000/\$25,000 = 0.96 So EAC = BAC/CPIc =
\$45,000/0.96 = \$46,875 ETC = EAC -- AC = \$46,875 -- \$25,000 =
\$21,875 TCPI = (BAC -- EV) / (BAC -- AC) = (45,000 -- 24,000) / (45,000
-- 25,000) = 21,000 / 20,000 = 1.05 VAC= BAC -- EAC = \$45,000 --
\$46,875 = --\$1,875 The project will cost \$46,875 since the EAC is
\$46,875. The ETC is \$21,875, so you will need \$21,875 to complete the
project. The VAC is --\$1,875; thus, the project will be over budget by
\$1,875. The project performance is not good as TCPI is 1.05. All of the
statements are true except D. The project is over budget by \$ 1,875,
not under budget.",,,,,,760_questions.txt
15,"A project manager has completed cost estimating for all project
activities and work packages. The estimates include labor, materials,
equipment, and other direct costs. The project sponsor is now asking for
a comprehensive budget that can be used to measure cost performance
throughout the project lifecycle. What should the project manager do next?",Submit the cost estimates to the sponsor as the project budget,Add management reserve to the estimates to create the final budget,"Distribute the cost estimates across the project timeline to show when
funds are needed","Aggregate the cost estimates and add contingency reserves to establish
the cost baseline",,4,,"The cost baseline is created by aggregating all individual activity and
work package cost estimates and adding contingency reserves for
identified risks. The cost baseline represents the approved budget for
project work and serves as the reference point for measuring cost
performance throughout the project. Contingency reserves are included in
the cost baseline because they are allocated for known risks that have
been identified and analyzed during risk management planning.","Submitting cost estimates without aggregation and reserves doesn\'t
create a proper baseline that accounts for identified risks or provides
an approved budget for performance measurement.","Management reserve is added to the cost baseline to create the project
budget, but the question asks about creating the baseline itself, not
the total project budget including management reserve.","Distributing estimates across the timeline creates a spending plan or
funding requirements but doesn\'t establish the cost baseline that
serves as the performance measurement benchmark.",,,760_questions.txt
16,"To develop an online accounting application for your software
development project, you are working on figuring out the total funding
requirements and periodic funding requirements of the project. Which of the following will help you the MOST in this case?",Project budget and contingency reserves,Funding limit reconciliation,Cost baseline and management reserves,Management reserves and contingency reserves,,3,,"Total fund or cost budget = cost baseline + management reserves Cost
baseline = project cost + contingency reserves The cost baseline is the
project cost plus the contingency reserves, and the cost budget, or how
much money the company should have available for the project, is the
cost baseline plus the management reserves. The project manager
determines, manages, and controls the contingency reserves, which will
address the cost impact of the risks remaining during the Plan Risk
Responses process. On the other hand, management reserves are funds to
cover unforeseen risks or changes to the project. In this case, the cost
baseline and the management reserves will be most helpful to calculate
the total funding and periodic funding requirements. Funding limit
reconciliation is the technique of reconciling the expenditure of funds
with the funding limits set for the project. As per the variance between
the expenditure of funds and planned limit, the activities can be
rescheduled to level out the rate of expenditures.",,,,,,760_questions.txt
17,"A project manager is developing the project budget and needs to allocate
costs across the project timeline to determine funding requirements for
each period. The project has detailed cost estimates for all activities,
and the sponsor needs to understand when funds will be required
throughout the project duration. Which budgeting tool should the project manager use?","Parametric estimating to calculate budget allocations based on
historical data",Reserve analysis to determine appropriate contingency funding levels,Expert judgment to validate the accuracy of budget distributions,"Cost aggregation to sum costs by time period and create the cost
baseline",,4,,"Cost aggregation is the budgeting tool used to sum individual activity
or work package costs by time period, creating a time-phased budget that
shows when funds are needed throughout the project. This process
aggregates detailed cost estimates up through the work breakdown
structure and distributes them across the project schedule, resulting in
the cost baseline. Cost aggregation enables the organization to
understand funding requirements for each time period and plan cash flow
accordingly.","Parametric estimating is a cost estimating technique used to calculate
costs based on statistical relationships, not a budgeting tool for
allocating already-developed estimates across time periods.","Reserve analysis determines the amount of contingency and management
reserves needed but doesn\'t address the time-phased allocation of costs
that creates the budget baseline.","Expert judgment supports budget development but is not the specific tool
used to aggregate and time-phase costs to create the funding
requirements and cost baseline.",,,760_questions.txt
18,"You are the project manager of a construction project that will take six
months to complete and will cost \$75,000/month. At the end of the third
month, you were asked to find out the cumulative SPI for the project and
report it to management. While reviewing the project status, you found
that you have spent \$80,000 in the first month, \$72,000 in the second
month, and \$75,000 in the third month. You also found that the project
was 15 percent complete at the end of first month, 35 percent complete
at the end of second month, and 45 percent complete at the end of third
month. If you planned to complete 50 percent of the work by this time,
what is the cumulative SPI at the end of month three?",0.5,0.9,0.34,1.1,,2,,"We have BAC = 6 \* \$75,000 = \$450,000 At the end of month three, we
were supposed to finish 50 percent of the work. Thus, PV = BAC \*
Planned % Complete or PV = \$450,000 \* 50 percent = \$225,000 Also,
project work is 45 percent completed at the end of three months. Thus,
EV = BAC \* Actual % Complete or EV = \$450,000 \* 45 percent =
\$202,500 Both the PV and EV are cumulative values in three months. We
know SPIc = EVc/PVc or SPIc = \$202,500/\$225,000 = 0.9",,,,,,760_questions.txt
19,"A project manager is leading an agile software development project when
the customer stakeholders refuse to participate in writing user stories.
They claim the process provides no value and prefer to simply tell the
development team what features they want built. The team needs clear
requirements to begin sprint planning. What should the project manager do?",Have the team write the user stories,"Document the customer requirements in a traditional requirements
specification instead","Explain the benefits of user stories and how they ensure the team builds
what customers actually need","Proceed without user stories and have customers provide detailed feature
specifications",,3,,"The project manager should educate stakeholders about how user stories
provide value by focusing on user needs and desired outcomes rather than
technical specifications. User stories facilitate conversation between
customers and the development team, ensure shared understanding, and
provide flexibility to adjust implementation details. By explaining
these benefits, the project manager helps customers understand how user
stories actually protect their interests and increase the likelihood of
receiving software that meets their true needs.","Having the development team write user stories without customer
participation defeats the purpose of user stories, which is to capture
the customer perspective and ensure shared understanding of needs.","Using traditional requirements specifications contradicts agile
principles and removes the collaborative benefits that user stories
provide through ongoing conversation and refinement.",,"Proceeding without user stories or with only feature specifications
loses the focus on user value and desired outcomes that makes agile
development effective at meeting customer needs.",,760_questions.txt
20,"A project manager is in the early planning stages of a construction
project and needs to provide a preliminary cost estimate to determine if
the project is financially viable. Detailed specifications and designs
have not yet been developed, but the organization needs a rough order of
magnitude estimate to decide whether to proceed with detailed planning. Which cost estimating technique should the project manager use?",Bottom-up estimating by analyzing costs for each detailed work package,"Three-point estimating using optimistic, pessimistic, and most likely
scenarios","Definitive estimating based on comprehensive resource and activity
analysis","Analogous estimating using historical data from similar construction
projects",,4,,"Analogous estimating (also called top-down estimating) is appropriate
for early project phases when limited information is available. This
technique uses historical cost data from similar past projects as the
basis for estimating the current project\'s costs. It provides a rough
order of magnitude estimate quickly and with minimal detail, making it
ideal for feasibility decisions and preliminary budgeting before
detailed planning occurs.","Bottom-up estimating requires detailed work package information that
doesn\'t exist in early project stages, making it impossible to use
before specifications and designs are developed.","Three-point estimating improves accuracy through probability analysis
but still requires sufficient project detail to develop optimistic,
pessimistic, and most likely estimates for activities.","Definitive estimating provides the highest accuracy but requires
comprehensive project details, resource specifications, and activity
analysis that are not available during early feasibility assessment.",,,760_questions.txt
21,"A project manager is reviewing earned value metrics for a software
development project and finds that the project has spent \$300,000 with
earned value of \$250,000 against a total budget of \$600,000. The
project sponsor wants to understand what level of cost efficiency will
be required for the remaining work to complete the project within the
original budget. What should the project manager calculate?",CPI,EAC,CV,TCPI,,4,,"The To-Complete Performance Index (TCPI) indicates the cost performance
efficiency that must be achieved on remaining work to meet a specified
financial goal, typically the Budget at Completion. TCPI is calculated
as (BAC - EV) / (BAC - AC), showing whether the required future
performance is realistic or if budget revisions are needed. A TCPI
greater than 1.0 means future work must be performed more efficiently
than past work to stay within budget.","CPI measures past and current cost efficiency but doesn\'t indicate what
efficiency level is required for future work to meet budget objectives.","EAC forecasts total project cost but doesn\'t specifically show the
performance efficiency required on remaining work to achieve budget
targets.","CV quantifies current budget deviation but doesn\'t provide insight into
the cost performance needed going forward to complete within the
original budget.",,,760_questions.txt
22,"A project manager is initiating a research and development project where
the final product specifications cannot be fully defined at the start.
The team will learn more about technical requirements and customer needs
as they develop prototypes and gather feedback throughout the project
lifecycle. What project management concept describes this approach?",Rolling wave planning,Scope creep,Progressive elaboration,Iterative development,,3,,"Progressive elaboration is the process of continuously improving and
detailing a plan as more specific and detailed information becomes
available over time. It recognizes that project characteristics are
developed broadly during early phases and become more detailed as the
project progresses and more information becomes known. This concept
applies to project management across all knowledge areas, allowing plans
to evolve from high-level to detailed as understanding increases.","Rolling wave planning is a specific scheduling technique where near-term
work is planned in detail while future work remains at a higher level,
but doesn\'t describe the broader concept of continuously refining all
project aspects.","Scope creep refers to uncontrolled changes or continuous growth in
project scope without proper change control, which is fundamentally
different from the planned refinement of progressive elaboration.",,"Iterative development is a specific approach to creating deliverables
through repeated cycles, but progressive elaboration applies more
broadly to all project planning and management activities, not just
product development.",,760_questions.txt
23,"A project manager is analyzing the cost performance of a manufacturing
project that has consumed \$450,000 of its \$800,000 budget. Based on
current performance trends and remaining work complexity, the project
manager needs to determine how much additional funding will be required
to complete all remaining project work. What should the project manager calculate?",BAC,ETC,EAC,VAC,,2,,"Estimate to Complete (ETC) represents the expected cost to finish all
remaining project work from the current point forward. ETC can be
calculated using various methods depending on whether past performance
is expected to continue or if future work will differ. Common formulas
include ETC = EAC - AC (using forecasted total minus actual spent) or
ETC = (BAC - EV) / CPI (assuming past performance continues). This
metric helps project managers understand funding needs for the remainder
of the project.","BAC (Budget at Completion) is the total planned budget established at
project start, which is already known and doesn\'t address the question
of how much additional funding is needed.",,"EAC (Estimate at Completion) forecasts the total project cost at
completion including money already spent, rather than just the
additional funds needed for remaining work.","VAC (Variance at Completion) shows the difference between budget and
forecasted total cost, indicating over or under budget, but doesn\'t
specify the additional funding required to complete.",,760_questions.txt
24,"A project manager is developing the cost baseline for a construction
project when the risk management team identifies several known risks
that could impact project costs, including potential weather delays and
material price fluctuations. The project manager needs to allocate funds
to address these identified risks if they occur. What should the project manager include in the cost baseline?",Management reserves,Cost variance,Risk register,Contingency reserves,,4,,"Contingency reserves are funds allocated within the cost baseline to
address identified risks that have been analyzed during risk management
planning. These reserves are used to handle known-unknowns - risks that
have been identified and assessed but may or may not occur. Contingency
reserves are part of the cost baseline and are controlled by the project
manager, who can authorize their use when identified risks materialize
without requiring additional approvals.","Management reserves are funds set aside for unknown-unknowns
(unidentified risks) and are added to the cost baseline to create the
project budget, but are not part of the baseline itself and require
higher-level approval to use.","Cost variance is a performance measurement showing the difference
between earned value and actual cost, not a reserve allocation for
addressing potential risks.","Risk register documents identified risks and their characteristics but
is not a financial allocation - it\'s a planning document that informs
the determination of contingency reserve amounts.",,,760_questions.txt
25,"You asked one of your team members about the schedule variance (SV) for
one of her key deliverables. She mentioned that she is behind schedule
but there would not be any cost variance. Which of the following is NOT
true in this case?",EV and PV were the same,EV and AC were the same,EV is less than PV,CPI is 1,,1,,"We know SV = EV -- PV. Since SV has a negative value, EV must be less
than PV. Also, CV = EV -- AC. Since there will be no cost variance, EV
and AC have the same value. CPI is also EV/AC = 1.",,,,,,760_questions.txt
26,"An organization is evaluating two potential projects with limited
resources to fund only one. Project A has an expected return of
\$500,000, while Project B has an expected return of \$350,000. After
careful analysis, the organization decides to pursue Project A. What is the opportunity cost of this decision?","\$500,000","\$350,000","\$150,000","\$850,000",,2,,"Opportunity cost represents the value of the next best alternative that
is forgone when making a decision. When the organization chooses Project
A, they give up the opportunity to pursue Project B and its \$350,000
return. The opportunity cost is always the value of what you didn\'t
choose, not the value gained from what you did choose or the difference
between the two options.","\$500,000 represents the expected return from Project A (the chosen
project), not the opportunity cost, which is the value of what was given
up.",,"\$150,000 represents the difference between the two projects\' returns,
which shows the net benefit of choosing A over B rather than the
opportunity cost.","\$850,000 represents the combined value of both projects, which is not
relevant to opportunity cost since only one project could be chosen.",,760_questions.txt
