id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,eco_task,approach,difficulty,keywords,split,source,template_family
PMP-PRO-00011,"A project manager has recently joined a manufacturing automation project, which follows a Agile approach. A key stakeholder requests a major change late in the iteration. How can the project manager best support project success?",Replace the team member most closely associated with the issue,Close the risk because it has not yet occurred,"Review the relevant plan or register, update it, and define an appropriate response",Escalate the issue immediately to the sponsor without further analysis,C,"PMI expects proactive planning, documentation, and response definition.",Process,Control scope,Agile,easy,"schedule, risk, change control",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00012,"The project manager is accountable for a supply chain improvement project, delivered through a Predictive model. The product owner is unavailable for backlog clarification. The team has limited time to respond before the next status review. How should the project manager proceed?",Approve the request immediately to maintain stakeholder satisfaction,Continue with the original plan because it was formally approved,Replace the team member most closely associated with the issue,"Review expectations with the stakeholder and team, then update the engagement approach if needed",D,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Build a shared understanding,Predictive,medium,"leadership, team, collaboration",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00013,"The project manager is accountable for a vendor-led integration project, delivered through a Agile model. A previously supportive stakeholder becomes resistant to the project. What is the most appropriate response?",Remove the item from scope to protect the baseline,Work with the team to identify root cause and implement a preventive or corrective action,Ignore the concern until it appears in the next status report,Direct the team to work overtime until the issue is resolved,B,"The project manager should address root cause, not only symptoms.",Process,Manage schedule,Agile,easy,"change control, risk, quality",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00014,"A Agile project is underway for a public sector modernization project. The team is meeting deadlines but quality defects are increasing. The sponsor expects immediate action, while the team recommends further analysis. What should the project manager do before taking corrective action?",Escalate the issue immediately to the sponsor without further analysis,Continue with the original plan because it was formally approved,Confirm whether the project still supports the expected benefits before recommending changes,Tell the customer the change cannot be considered at this point,C,Modern PMP emphasizes value delivery and benefits realization.,Business,Protect strategic objectives,Agile,hard,"benefits, governance, strategy",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00015,"In an infrastructure modernization effort, the project team is operating with a Predictive delivery model. The customer asks for faster delivery without reducing scope. The issue has moderate impact, but several stakeholders have different expectations. How should the project manager proceed?",Ask the sponsor to decide the technical solution,Review acceptance criteria with stakeholders and validate the deliverable against agreed requirements,Close the risk because it has not yet occurred,Escalate the issue immediately to the sponsor without further analysis,B,Validation should be based on agreed criteria and stakeholder alignment.,Process,Handle dependencies,Predictive,medium,"change control, scope, risk",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00016,A Agile project is underway for a digital transformation program. A dependency with another team threatens the next release. Which action should the project manager take next?,Delay all project work until every stakeholder reaches full agreement,Review the benefits realization plan and adjust the approach with stakeholder agreement,Continue with the original plan because it was formally approved,Approve the request immediately to maintain stakeholder satisfaction,B,Projects should remain aligned to business outcomes throughout delivery.,Business,Support organizational change,Agile,easy,"compliance, benefits, strategy",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00017,"The project manager is accountable for an infrastructure modernization effort, delivered through a Agile model. A technical decision could reduce long-term maintainability. The issue has moderate impact, but several stakeholders have different expectations. Which action best aligns with PMI's project management principles?",Delay all project work until every stakeholder reaches full agreement,Continue with the original plan because it was formally approved,Facilitate a collaborative discussion to understand concerns and align the team,Remove the item from scope to protect the baseline,C,"The PMI mindset favors collaboration, listening, and resolving conflict at the lowest appropriate level before escalation.",People,Address impediments,Agile,medium,"stakeholders, conflict, leadership",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00018,A project manager is leading a supply chain improvement project using a Hybrid approach. A technical decision could reduce long-term maintainability. Which step should be taken to resolve the issue effectively?,Replace the team member most closely associated with the issue,Make the decision alone to avoid slowing the project team,Coach the team toward shared ownership while removing impediments,Cancel the current iteration and restart the planning process,C,The project manager should enable the team rather than command the solution.,People,Address impediments,Hybrid,easy,"team, stakeholders, collaboration",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00019,"The project manager is accountable for a vendor-led integration project, delivered through a Agile model. A lessons learned item from a previous phase has not been addressed. The issue has moderate impact, but several stakeholders have different expectations. What should the project manager do to best address the situation?",Direct the team to work overtime until the issue is resolved,Tell the customer the change cannot be considered at this point,"Analyze the impact, document the issue, and follow the appropriate change control process",Cancel the current iteration and restart the planning process,C,Changes should be evaluated for impact before approval or implementation.,Process,Validate deliverables,Agile,medium,"schedule, scope, change control",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00020,"During a distributed software implementation, the project manager is working in a Predictive environment. A functional manager pulls a critical resource from the project. The situation affects both delivery predictability and stakeholder confidence. What is the most appropriate response?",Delay all project work until every stakeholder reaches full agreement,Continue with the original plan because it was formally approved,"Analyze the impact, document the issue, and follow the appropriate change control process",Update the schedule without consulting the affected stakeholders,C,Changes should be evaluated for impact before approval or implementation.,Process,Handle dependencies,Predictive,medium,"schedule, risk, scope",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00021,"On a supply chain improvement project, a project manager is responsible for delivery under a Predictive lifecycle. A retrospective reveals recurring blockers outside the team's control. How should the project manager proceed?",Make the decision alone to avoid slowing the project team,Ignore the concern until it appears in the next status report,Assign blame to the responsible party and document the performance issue,Meet with the affected people to identify the root cause and agree on a constructive path forward,D,The best first step is to understand the root cause and involve the people closest to the issue.,People,Empower team members,Predictive,easy,"conflict, collaboration, team",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00022,A project manager is leading a customer-facing product release using a Hybrid approach. The customer reports that the delivered increment does not solve the expected problem. What should the project manager do before taking corrective action?,Confirm whether the project still supports the expected benefits before recommending changes,Approve the request immediately to maintain stakeholder satisfaction,Continue with the original plan because it was formally approved,Remove the item from scope to protect the baseline,A,Modern PMP emphasizes value delivery and benefits realization.,Business,Evaluate benefits,Hybrid,easy,"strategy, governance, compliance",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00023,"While managing a business intelligence implementation, the project manager uses a Hybrid approach. A compliance audit identifies missing documentation. The issue has moderate impact, but several stakeholders have different expectations. What should the project manager do first?",Direct the team to work overtime until the issue is resolved,Delay all project work until every stakeholder reaches full agreement,"Assess the impact on scope, schedule, cost, quality, and risk before deciding",Ignore the concern until it appears in the next status report,C,Integrated impact analysis is required before corrective action.,Process,Control scope,Hybrid,medium,"schedule, quality, change control",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00024,"A project manager is leading a vendor-led integration project using a Hybrid approach. A lessons learned item from a previous phase has not been addressed. Two alternatives appear reasonable, but one may reduce long-term business value. What is the best course of action?",Make the decision alone to avoid slowing the project team,Ask the sponsor to decide the technical solution,Review the benefits realization plan and adjust the approach with stakeholder agreement,Assign blame to the responsible party and document the performance issue,C,Projects should remain aligned to business outcomes throughout delivery.,Business,Support organizational change,Hybrid,hard,"benefits, compliance, governance",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00025,A Predictive project is underway for a cybersecurity enhancement project. The budget forecast shows a possible overrun next quarter. The situation affects both delivery predictability and stakeholder confidence. What should the project manager do to best address the situation?,Tell the customer the change cannot be considered at this point,Approve the request immediately to maintain stakeholder satisfaction,Cancel the current iteration and restart the planning process,Meet with the affected people to identify the root cause and agree on a constructive path forward,D,The best first step is to understand the root cause and involve the people closest to the issue.,People,Build a shared understanding,Predictive,medium,"conflict, collaboration, team",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00026,"While managing a new service launch, the project manager uses a Hybrid approach. An agile team asks the project manager to decide how they should complete the work. What should the project manager do before taking corrective action?",Cancel the current iteration and restart the planning process,Remove the item from scope to protect the baseline,Approve the request immediately to maintain stakeholder satisfaction,"Review expectations with the stakeholder and team, then update the engagement approach if needed",D,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Build a shared understanding,Hybrid,easy,"conflict, team, leadership",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00027,"A project manager is leading an infrastructure modernization effort using a Agile approach. A key stakeholder requests a major change late in the iteration. The sponsor expects immediate action, while the team recommends further analysis. How should the project manager proceed?",Replace the team member most closely associated with the issue,Continue with the original plan because it was formally approved,Assign blame to the responsible party and document the performance issue,Use servant leadership to support the team in resolving the issue,D,"Servant leadership is strongly aligned with the modern PMP exam, especially in agile and hybrid environments.",People,Build a shared understanding,Agile,hard,"collaboration, team, stakeholders",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00028,"A project manager has recently joined a customer-facing product release, which follows a Predictive approach. The project manager discovers that assumptions are outdated. The situation affects both delivery predictability and stakeholder confidence. What is the most appropriate response?",Ask the sponsor to decide the technical solution,Use servant leadership to support the team in resolving the issue,Remove the item from scope to protect the baseline,Escalate the issue immediately to the sponsor without further analysis,B,"Servant leadership is strongly aligned with the modern PMP exam, especially in agile and hybrid environments.",People,Support team performance,Predictive,medium,"collaboration, conflict, stakeholders",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00029,"On a supply chain improvement project, a project manager is responsible for delivery under a Hybrid lifecycle. Team velocity has dropped for three consecutive iterations. The sponsor expects immediate action, while the team recommends further analysis. What should the project manager do before taking corrective action?",Assign blame to the responsible party and document the performance issue,Approve the request immediately to maintain stakeholder satisfaction,Assess compliance and business implications before proceeding,Cancel the current iteration and restart the planning process,C,"Business environment issues require evaluation of compliance, governance, and organizational impact.",Business,Protect strategic objectives,Hybrid,hard,"benefits, governance, value",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00030,"During a manufacturing automation project, the project manager is working in a Agile environment. A previously supportive stakeholder becomes resistant to the project. The issue has moderate impact, but several stakeholders have different expectations. What is the most appropriate response?",Ignore the concern until it appears in the next status report,Confirm whether the project still supports the expected benefits before recommending changes,Tell the customer the change cannot be considered at this point,Close the risk because it has not yet occurred,B,Modern PMP emphasizes value delivery and benefits realization.,Business,Manage business impact,Agile,medium,"compliance, governance, strategy",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00031,"A Hybrid project is underway for a new service launch. A key stakeholder requests a major change late in the iteration. The issue has moderate impact, but several stakeholders have different expectations. What should the project manager do before taking corrective action?",Assign blame to the responsible party and document the performance issue,Direct the team to work overtime until the issue is resolved,Tell the customer the change cannot be considered at this point,Coach the team toward shared ownership while removing impediments,D,The project manager should enable the team rather than command the solution.,People,Empower team members,Hybrid,medium,"conflict, collaboration, stakeholders",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00032,"The project manager is accountable for a cloud migration project, delivered through a Hybrid model. The team is meeting deadlines but quality defects are increasing. The situation affects both delivery predictability and stakeholder confidence. What is the most appropriate response?",Delay all project work until every stakeholder reaches full agreement,Tell the customer the change cannot be considered at this point,Use servant leadership to support the team in resolving the issue,Escalate the issue immediately to the sponsor without further analysis,C,"Servant leadership is strongly aligned with the modern PMP exam, especially in agile and hybrid environments.",People,Promote collaboration,Hybrid,medium,"collaboration, stakeholders, leadership",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00033,A Hybrid project is underway for a manufacturing automation project. A change request conflicts with approved project constraints. What should the project manager do to best address the situation?,Continue with the original plan because it was formally approved,Replace the team member most closely associated with the issue,Direct the team to work overtime until the issue is resolved,Work with the team to identify root cause and implement a preventive or corrective action,D,"The project manager should address root cause, not only symptoms.",Process,Manage procurement,Hybrid,easy,"schedule, scope, change control",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00034,"On a vendor-led integration project, a project manager is responsible for delivery under a Agile lifecycle. A key stakeholder requests a major change late in the iteration. Two alternatives appear reasonable, but one may reduce long-term business value. How should the project manager proceed?",Cancel the current iteration and restart the planning process,Delay all project work until every stakeholder reaches full agreement,"Review expectations with the stakeholder and team, then update the engagement approach if needed",Replace the team member most closely associated with the issue,C,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Manage conflict,Agile,hard,"stakeholders, leadership, collaboration",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00035,A Predictive project is underway for a financial services migration. A dependency owner cannot commit to the required date. What is the best course of action?,Close the risk because it has not yet occurred,"Review the relevant plan or register, update it, and define an appropriate response",Replace the team member most closely associated with the issue,Delay all project work until every stakeholder reaches full agreement,B,"PMI expects proactive planning, documentation, and response definition.",Process,Control scope,Predictive,easy,"change control, risk, schedule",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00036,"While managing an enterprise resource planning deployment, the project manager uses a Predictive approach. The team reports that acceptance criteria are unclear. The team has limited time to respond before the next status review. What should the project manager do first?",Tell the customer the change cannot be considered at this point,Replace the team member most closely associated with the issue,Update the schedule without consulting the affected stakeholders,"Review expectations with the stakeholder and team, then update the engagement approach if needed",D,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Address impediments,Predictive,medium,"team, conflict, collaboration",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00037,"While managing a new service launch, the project manager uses a Hybrid approach. A team member is consistently late with assigned work. The issue has moderate impact, but several stakeholders have different expectations. How should the project manager proceed?",Make the decision alone to avoid slowing the project team,Remove the item from scope to protect the baseline,Approve the request immediately to maintain stakeholder satisfaction,Assess compliance and business implications before proceeding,D,"Business environment issues require evaluation of compliance, governance, and organizational impact.",Business,Respond to market change,Hybrid,medium,"governance, benefits, value",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00038,"In a manufacturing automation project, the project team is operating with a Hybrid delivery model. A team member is consistently late with assigned work. Two alternatives appear reasonable, but one may reduce long-term business value. Which step should be taken to resolve the issue effectively?",Make the decision alone to avoid slowing the project team,Approve the request immediately to maintain stakeholder satisfaction,Replace the team member most closely associated with the issue,Review acceptance criteria with stakeholders and validate the deliverable against agreed requirements,D,Validation should be based on agreed criteria and stakeholder alignment.,Process,Manage changes,Hybrid,hard,"quality, change control, risk",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00039,"While managing a public sector modernization project, the project manager uses a Agile approach. A technical decision could reduce long-term maintainability. The situation affects both delivery predictability and stakeholder confidence. What should the project manager do before taking corrective action?",Update the schedule without consulting the affected stakeholders,Use servant leadership to support the team in resolving the issue,Tell the customer the change cannot be considered at this point,Close the risk because it has not yet occurred,B,"Servant leadership is strongly aligned with the modern PMP exam, especially in agile and hybrid environments.",People,Build a shared understanding,Agile,medium,"conflict, stakeholders, leadership",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00040,"A project manager has recently joined a supply chain improvement project, which follows a Hybrid approach. A new regulation affects part of the planned solution. How should the project manager proceed?",Close the risk because it has not yet occurred,Engage the governance body with evidence-based options and recommendations,Direct the team to work overtime until the issue is resolved,Delay all project work until every stakeholder reaches full agreement,B,"Governance decisions should be supported by analysis, not assumptions.",Business,Evaluate benefits,Hybrid,easy,"benefits, strategy, governance",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00041,"In a regulatory compliance initiative, the project team is operating with a Agile delivery model. A procurement contract does not clearly define acceptance criteria. The situation affects both delivery predictability and stakeholder confidence. What is the most appropriate response?",Replace the team member most closely associated with the issue,"Review expectations with the stakeholder and team, then update the engagement approach if needed",Continue with the original plan because it was formally approved,Escalate the issue immediately to the sponsor without further analysis,B,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Manage stakeholder expectations,Agile,medium,"stakeholders, leadership, team",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00042,"A project manager is leading a digital transformation program using a Agile approach. A dependency owner cannot commit to the required date. The issue has moderate impact, but several stakeholders have different expectations. What is the most appropriate response?",Review acceptance criteria with stakeholders and validate the deliverable against agreed requirements,Replace the team member most closely associated with the issue,Approve the request immediately to maintain stakeholder satisfaction,Direct the team to work overtime until the issue is resolved,A,Validation should be based on agreed criteria and stakeholder alignment.,Process,Control scope,Agile,medium,"change control, scope, schedule",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00043,"In a new service launch, the project team is operating with a Hybrid delivery model. The project manager discovers that assumptions are outdated. The situation affects both delivery predictability and stakeholder confidence. How can the project manager best support project success?","Analyze the impact, document the issue, and follow the appropriate change control process",Delay all project work until every stakeholder reaches full agreement,Replace the team member most closely associated with the issue,Close the risk because it has not yet occurred,A,Changes should be evaluated for impact before approval or implementation.,Process,Track project performance,Hybrid,medium,"risk, scope, change control",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00044,"The project manager is accountable for a cybersecurity enhancement project, delivered through a Agile model. Team velocity has dropped for three consecutive iterations. What should the project manager do to best address the situation?",Approve the request immediately to maintain stakeholder satisfaction,Direct the team to work overtime until the issue is resolved,Facilitate a collaborative discussion to understand concerns and align the team,Close the risk because it has not yet occurred,C,"The PMI mindset favors collaboration, listening, and resolving conflict at the lowest appropriate level before escalation.",People,Manage stakeholder expectations,Agile,easy,"stakeholders, conflict, collaboration",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00045,"In a public sector modernization project, the project team is operating with a Hybrid delivery model. The project is on schedule but stakeholders say communication is poor. What is the most appropriate response?",Escalate the issue immediately to the sponsor without further analysis,Ignore the concern until it appears in the next status report,Evaluate the impact on business value and discuss options with the sponsor and key stakeholders,Assign blame to the responsible party and document the performance issue,C,The project manager must keep the project aligned with value and strategy.,Business,Evaluate benefits,Hybrid,easy,"governance, benefits, compliance",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00046,A project manager is leading a mobile application delivery project using a Predictive approach. A risk identified earlier is becoming more likely. The situation affects both delivery predictability and stakeholder confidence. What is the best course of action?,Direct the team to work overtime until the issue is resolved,Escalate the issue immediately to the sponsor without further analysis,"Assess the impact on scope, schedule, cost, quality, and risk before deciding",Delay all project work until every stakeholder reaches full agreement,C,Integrated impact analysis is required before corrective action.,Process,Ensure quality,Predictive,medium,"schedule, risk, quality",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00047,"A Predictive project is underway for a healthcare process improvement initiative. A new regulation affects part of the planned solution. The issue has moderate impact, but several stakeholders have different expectations. What should the project manager do before taking corrective action?",Tell the customer the change cannot be considered at this point,Update the schedule without consulting the affected stakeholders,Work with the team to identify root cause and implement a preventive or corrective action,Make the decision alone to avoid slowing the project team,C,"The project manager should address root cause, not only symptoms.",Process,Handle dependencies,Predictive,medium,"schedule, quality, change control",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00048,"The project manager is accountable for a supply chain improvement project, delivered through a Predictive model. The sponsor pressures the team to reduce testing time. The sponsor expects immediate action, while the team recommends further analysis. Which action should the project manager take next?",Replace the team member most closely associated with the issue,Update the schedule without consulting the affected stakeholders,Assign blame to the responsible party and document the performance issue,"Assess the impact on scope, schedule, cost, quality, and risk before deciding",D,Integrated impact analysis is required before corrective action.,Process,Ensure quality,Predictive,hard,"change control, quality, scope",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00049,A project manager is leading a process optimization initiative using a Predictive approach. Team velocity has dropped for three consecutive iterations. The team has limited time to respond before the next status review. How should the project manager proceed?,Direct the team to work overtime until the issue is resolved,Remove the item from scope to protect the baseline,Ignore the concern until it appears in the next status report,Use servant leadership to support the team in resolving the issue,D,"Servant leadership is strongly aligned with the modern PMP exam, especially in agile and hybrid environments.",People,Empower team members,Predictive,medium,"team, stakeholders, conflict",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00050,"A project manager has recently joined a cybersecurity enhancement project, which follows a Predictive approach. A risk identified earlier is becoming more likely. Which action should the project manager take next?",Replace the team member most closely associated with the issue,Cancel the current iteration and restart the planning process,Ignore the concern until it appears in the next status report,"Review expectations with the stakeholder and team, then update the engagement approach if needed",D,Stakeholder engagement and clear expectations help prevent recurring communication and alignment issues.,People,Build a shared understanding,Predictive,easy,"conflict, collaboration, stakeholders",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00051,"On a cloud migration project, a project manager is responsible for delivery under a Hybrid lifecycle. The customer asks for faster delivery without reducing scope. The team has limited time to respond before the next status review. Which action should the project manager take next?",Work with the team to identify root cause and implement a preventive or corrective action,Assign blame to the responsible party and document the performance issue,Update the schedule without consulting the affected stakeholders,Ask the sponsor to decide the technical solution,A,"The project manager should address root cause, not only symptoms.",Process,Manage changes,Hybrid,medium,"change control, quality, risk",validation,synthetic_eco_aligned_pro,scenario
PMP-PRO-00052,A Hybrid project is underway for a supply chain improvement project. A previously supportive stakeholder becomes resistant to the project. The team has limited time to respond before the next status review. What should the project manager do before taking corrective action?,Delay all project work until every stakeholder reaches full agreement,Approve the request immediately to maintain stakeholder satisfaction,Close the risk because it has not yet occurred,"Review the relevant plan or register, update it, and define an appropriate response",D,"PMI expects proactive planning, documentation, and response definition.",Process,Handle dependencies,Hybrid,medium,"quality, change control, scope",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00053,"While managing an infrastructure modernization effort, the project manager uses a Hybrid approach. A critical defect appears shortly before a planned release. The sponsor expects immediate action, while the team recommends further analysis. Which action should the project manager take next?",Escalate the issue immediately to the sponsor without further analysis,Ask the sponsor to decide the technical solution,Evaluate the impact on business value and discuss options with the sponsor and key stakeholders,Remove the item from scope to protect the baseline,C,The project manager must keep the project aligned with value and strategy.,Business,Maintain compliance,Hybrid,hard,"benefits, compliance, governance",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00054,A Predictive project is underway for a manufacturing automation project. A previously supportive stakeholder becomes resistant to the project. Which action best aligns with PMI's project management principles?,Escalate the issue immediately to the sponsor without further analysis,Ask the sponsor to decide the technical solution,Engage the governance body with evidence-based options and recommendations,Continue with the original plan because it was formally approved,C,"Governance decisions should be supported by analysis, not assumptions.",Business,Assess value delivery,Predictive,easy,"value, governance, compliance",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00055,A project manager is leading a financial services migration using a Hybrid approach. A key stakeholder requests a major change late in the iteration. Which action best aligns with PMI's project management principles?,Update the schedule without consulting the affected stakeholders,Continue with the original plan because it was formally approved,Direct the team to work overtime until the issue is resolved,Evaluate the impact on business value and discuss options with the sponsor and key stakeholders,D,The project manager must keep the project aligned with value and strategy.,Business,Support organizational change,Hybrid,easy,"compliance, strategy, value",train,synthetic_eco_aligned_pro,scenario
PMP-PRO-00056,"The project manager is accountable for an internal operations improvement project, delivered through a Predictive model. A dependency with another team threatens the next release. Two alternatives appear reasonable, but one may reduce long-term business value. How can the project manager best support project success?",Direct the team to work overtime until the issue is resolved,Remove the item from scope to protect the baseline,Cancel the current iteration and restart the planning process,Meet with the affected people to identify the root cause and agree on a constructive path forward,D,The best first step is to understand the root cause and involve the people closest to the issue.,People,Lead a team,Predictive,hard,"collaboration, conflict, team",test,synthetic_eco_aligned_pro,scenario
PMP-PRO-00057,"In an enterprise resource planning deployment, the project team is operating with a Agile delivery model. A newly assigned team member lacks knowledge of the project context. The situation affects both delivery predictability and stakeholder confidence. What is the best course of action?",Remove the item from scope to protect the baseline,Direct the team to work overtime until the issue is resolved,Assess compliance and business implications before proceeding,Continue with the original plan because it was formally approved,C,"Business environment issues require evaluation of compliance, governance, and organizational impact.",Business,Maintain compliance,Agile,medium,"governance, benefits, compliance",train,synthetic_eco_aligned_pro,scenario
