dataset_id,source_name,source_url,question_number,question_text,option_count,choice_label_scheme,option_1,option_2,option_3,option_4,option_5,correct_answer_positions,correct_answer_letters,multiple_correct,reference
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,15,"A customer is requiring a minor scope change and expects you to do this without delays and additional costs. You believe that you have adequate authorization to make the decision by yourself, but you are not quite sure. What should be your next steps?",4,1..n in source answer key; options stored as ordered positions,"A requested change is always an opportunity to get more money paid by the customer and to secretly solve schedule and quality problems. You should make some reasonable estimates on time, costs, risks etc. and then add a nice margin on top of that to calculate the new price.","Customer satisfaction is your top priority. The customer gives you an opportunity to increase their satisfaction, which you should use to the maximum benefit. Most project managers have contingencies to cover risks; these can be used to pay the additional costs.","Before making a decision you should have a look at the customer's parking lot. If you find there many expensive, new models, it is likely that you can use the requested change to increase the profit from the contract. Otherwise you should reject the request.","Handle the request according to the integrated change control processes described in your management plans. Then make a decision together with the appropriate change control body, whether the increased customer satisfaction will be worth the extra costs, work, risks etc.",,4,D,no,"PMBOK® Guide 6th Edition, page 113."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,16,A facilitator should…,4,1..n in source answer key; options stored as ordered positions,…be in full control of the discussion and its outcomes.,…always take notes by herself.,…avoid a flip chart parking lot.,…give guidance as required without interfering.,,4,D,no,"Project Management, A Systems Approach to Planning, Scheduling and Controlling by Harold Kerzner, 12th edition, page 226."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,17,"As the project manager in a software project which is currently initiated, you want to assess high- level risks. What should you do?",4,1..n in source answer key; options stored as ordered positions,Develop the project charter and a risk management plan to start identifying risks based on those and other documents.,Identify and analyze risk events using qualitative and quantitative techniques.,Develop contingency plans and fallback plans in case the original plan proves wrong.,Discuss the risks documented in your Risk register with the project key stakeholders.,,1,A,no,"PMBOK® Guide 6th Edition, pages 75 and 405."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,18,"In most jurisdictions, a legally required order of formal statements establishing a contract is:",4,1..n in source answer key; options stored as ordered positions,"Invitation to treat, offer, PO","Inquiry, bid, order","Offer, acceptance","MoU, LoI, final agreement",,3,C,no,"Project Management, A Systems Approach to Planning, Scheduling and Controlling by Harold Kerzner, 12th edition, pages 661ff."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,19,What should managers consider before conducting a performance evaluation interview with a project team member?,4,1..n in source answer key; options stored as ordered positions,Which management fallacies can most easily be delegated to the worker?,How can discussion of the manager's leadership style be avoided?,Has the employee been provided with sufficient instructions and work tools?,How can dispute related to unsatisfactory performance be avoided?,,3,C,no,"PMBOK® Guide 6th Edition, pages 142, 310; Successful Interviewing by Diane Arthur, page 154."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,20,"During team development, the handling of assumptions is causing problems. Some team members reject the notion that assumptions are an expression of uncertainty. Others recommended to make exploring assumptions an essential element of team building, following the Drexler/Sibbet Team Performance Model Which statement describes best the handling of assumptions in this model?",4,1..n in source answer key; options stored as ordered positions,It is the responsibility of the sales person in charge to identify all risks related to a customer project.,Managing and organizing assumptions means avoiding risks right from the start of the project.,Finding out more about assumptions should be an element of goal clarification by the team..,Risks are a sign of uncertainty. Avoiding all uncertainties means that a project should have no risks at all.,,3,C,no,"PMBOK® Guide 7th Edition, page 167."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,21,A WBS dictionary is a document which…,4,1..n in source answer key; options stored as ordered positions,… describes technical terms used for scope management.,… describes the details for each component in the WBS.,… translates essential WBS terms for global project teams.,… helps translate functional into technical requirements.,,2,B,no,"PMBOK® Guide 6th Edition, page 162."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,22,You are in the process of contacting sellers to obtain bids and proposals. You found out that it might become a time-consuming procedure to ensure that the sellers get a clear and common understanding of the procurement process and of the needs of your project. Which technique may help you save time?,4,1..n in source answer key; options stored as ordered positions,Bidder conferences,Advertising,Qualified sellers list,Four-eyes meetings,,1,A,no,"PMBOK® Guide 6th Edition, page 487."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,23,"While you implement the plans of your project, you find that cultural differences and incompatibilities among your team members cause issues and resolving them leads to delays. As a project manager, when should you especially consider cultural differences? (Choose 2)",5,1..n in source answer key; options stored as ordered positions,When you break down scope to create a work breakdown structure (WBS).,When you assign a human resources to do the work in a schedule activity.,When you develop acceptance criteria for work results to be achieved by the team members.,When you decide upon recognition and awards during team development.,When you have a globally distributed project team.,"1,5","A,E",yes,"PMBOK® Guide 6th Edition, page 341."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,24,"At the beginning of project execution, you notice different opinions between team members relating to project work and deliverables and to the level of overall complexity. What should you do right now?",4,1..n in source answer key; options stored as ordered positions,Give your team members some time to develop a common understanding of the project scope and product scope. Upcoming interface problems may be resolved later.,Use the risk management processes to identify and assess risks caused by misunderstandings and develop a plan with measures in order to respond to them.,"Organize meetings to identify and resolve misunderstandings between team members in order to avoid interface problems, disintegration and costly rework early in the project.",Use interviews in private with each individual team member to inform them of your expectations and your requirements in an atmosphere of confidence.,,3,C,no,"PMBOK® Guide 6th Edition, page 342."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,25,"You have just taken over as manager of a project that will create many benefits for the performing organization, but you sense a high level of resistance in various stakeholders right from the start. What is the most appropriate action to resolve the problem?",4,1..n in source answer key; options stored as ordered positions,Develop a responsibility assignment matrix (RAM) which clearly shows the responsibility of each stakeholder for the various project activities and who needs to be consulted and informed.,"Develop an organization diagram, which places each of the stakeholders at an appropriate position inside the project and allows for certain lines of communication while disallowing others.","Schedule a meeting with these stakeholders to present the project, discuss and establish ground rules, ensure their involvement and identify initial personal and organizational issues.","Do not talk to these stakeholders too much at this time, instead create faits accomplis, which will later force the stakeholders to support the project due to a lack of alternatives for them.",,3,C,no,"PMBOK® Guide 6th Edition, page 86."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,26,You are in the process of planning a project and found that stakeholders often have varying objectives and requirements. This makes it hard to come up with a plan with which all objectives will be met. What is probably most helpful to ensure common understanding?,4,1..n in source answer key; options stored as ordered positions,Ask the project stakeholders to build focus groups in order to discuss and remedy conflicting interests.,Create an exhaustive document describing your point of view and ask stakeholders to review it.,"Let each stakeholder write a statement of work, merge the documents to a project scope statement.",Use your authorization as the project manager to clearly prioritize the different objectives.,,1,A,no,"PMBOK® Guide 6th Edition, page 142."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,27,Projects frequently do not meet customer expectations for which of the following reasons?,4,1..n in source answer key; options stored as ordered positions,Poor risk management by the contractor running the project,Poor technical ability of the contractor running the project for the customer,Technical inability and poor risk management by the contractor,Unclear scope definition by the customer for whom the project is performed,,3,C,no,"Project Management, A Systems Approach to Planning, Scheduling and Controlling by Harold Kerzner, 12th edition, page 593."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,28,"You are the project manager for the development of a new type of power plant. Your project is making fast progress, and it is getting nearer to the day of product acceptance. Which technique will be most important for product acceptance?",4,1..n in source answer key; options stored as ordered positions,Inspection,Quality audit,Impact analysis,Team review,,1,A,no,"PMBOK® Guide 6th Edition, page 303."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,29,You have a discussion with management in organizations that the costs of quality are hard to assign and to balance against each What are the cost types in modern quality management?,4,1..n in source answer key; options stored as ordered positions,Costs of good quality – costs of bad quality,Planning costs – assurance costs – control costs,Planning costs – doing costs – checking costs – acting costs,Prevention costs – appraisal costs – failure costs,,4,D,no,"PMBOK® Guide 6th Edition, page 283 (figure 8-5)."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,30,"During the execution of a project to build a complex defense system, your team has run into a deep crisis. The project's goal and objectives have been challenging right from the start, but now you have discovered that your team members have become increasingly unaware of them. Being busy solving detail problems, they often fail to understand the overall requirements. Then they develop solutions which resolve issues in their area of limited responsibility, while causing new problems at the interfaces with other system components. Meanwhile, the team members show signs of growing frustration, and time is running away. How can you help your team in this situation?",4,1..n in source answer key; options stored as ordered positions,Accompany your team members along a sequence of maturity levels from dependence through independence to interdependence.,"Ignore the low-level issues and focus on achieving the overall requirements, details can be sorted out during test and handover.","If everybody simply does their jobs, then there should be no problem. Make sure that team members are fully aware of their accountability.",Problems of this dimension have their origin in fundamental personal incompatibilities between team members. You should replace them all.,,1,A,no,"The Human Aspects of Project Management: Managing the Project Team by Vijay K. Verma, Volume Three, page 70."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,31,"During execution in a project to build a major road bridge, your team found a major flaw in the technical drawings. On an ad-hoc base, they had to find and implement a workaround to avoid delays and mitigate technical problems. What should you do next?",4,1..n in source answer key; options stored as ordered positions,"Meticulously document the problem and the workaround to create a requested change to the project management plan, which will then be passed to the body responsible for the change control decision.","The workaround was performed on a technical level only. As long as it does not influence the function of the bridge or the organizational configuration of the project, a change request will not be necessary.","A retroactive formal change request side is not reasonable. Create some additional documents describing the workaround and sign them by yourself, you can present them during the next regular CCB meeting.",It is normal in projects that during project execution inconsistencies arise between planning documents and actual implementation. This is no problem as long as the functional status of the product is maintained.,,1,A,no,"PMBOK® Guide 6th Edition, page 113."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,32,You recently took over the assignment for a project. The project charter has been developed. What is an appropriate next step for you?,4,1..n in source answer key; options stored as ordered positions,Develop the risk register.,Develop the project milestone schedule.,Develop management plans.,Get approval for the project management plan.,,3,C,no,"PMBOK® Guide 6th Edition, page 82."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,33,"You scheduled a kick-off meeting in order to announce the start of your project, present the plan and develop consensus on it. Another topic will be explanation of each team member's role. In addition, you planned some time for discussions. You published the agenda of the kick-off meeting some weeks ago to all invited attendees. Now, short term before the event, you receive various cancellations by team members, who say that they cannot join the meeting. But they will be with you when project work will start.",4,1..n in source answer key; options stored as ordered positions,"The kick-off meeting is secondary, you are happy if the team members will do their jobs.",You should insist on the presence of the team members to the appointed date.,"If you force team members' presence, they would anyway be distracted by their current problems.","It is probably a good idea to reschedule the meeting to a day, when all team members can attend.",,2,B,no,"Management JumpStart by Kim Heldman, page 78."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,34,"During a meeting, a discussion came up: To which degree does your project have to be compliant to the processes enumerated in the PMBOK® Guide? What should be the guiding principle to answer this question?",4,1..n in source answer key; options stored as ordered positions,The processes are meant as rough guidelines to which a team should only adhere if there is enough consensus.,"The more processes the project team follows, the better the project's performance will be.",The project manager must follow all 49 processes for project management without alterations.,The project team must select appropriate processes required to meet the project requirements.,,4,D,no,"PMBOK® Guide 6th Edition, page 28."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,35,"Your project team is complaining that the acceptance criteria of their work result are unclear and ask you to provide clarification with the customer. You arrange a meeting, and several criteria are identified. The product acceptance criteria should now be laid down in which documents? (Choose 2)",5,1..n in source answer key; options stored as ordered positions,Project scope statement,Work breakdown structure,Resource assignments,Project scope management plan,An addendum to the project contract,"1,5","A,E",yes,"PMBOK® Guide 6th Edition, pages 154, 461."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,36,During project execution you found out that work is often not performed at the right time and in the right order. Deliverables are made by one team member that cannot be processed by another one. This already leads to timely rework and bad morale among team members. Which project management tool is most appropriate to deal with problems like this?,4,1..n in source answer key; options stored as ordered positions,Organization chart,RACI matrix,Communications management plan,Work authorization system,,4,D,no,"PMBOK® Guide 6th Edition, page 59 Project Management, Sixth Edition by G. Michael Campbell, page 235."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,37,Your management is applying the 10 percent solution: It has requested that you reduce the budget for the project which you are currently initiating by 10%. What will this probably mean for your project?,4,1..n in source answer key; options stored as ordered positions,"If the budget is cut by 10%, then the project will have an accompanying degradation of quality by 10%.","If the project budget is an honest one, then a reduction in budget must be accompanied by a trade-off in either time or performance.",A 10% reduction in budget will be accompanied by a loss of performance much less than the target reduction in cost.,"Most projects have ""padded"" estimates, and the budgetary reduction will force out the padding from the project.",,2,B,no,"Project Management, A Systems Approach to Planning, Scheduling and Controlling by Harold Kerzner, 12th edition, page 575."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,38,"While applying procurement management processes in your project, you identified the need to gain a more objective understanding of sellers' capabilities in order to rank proposals and develop a negotiating sequence. Which technique may help avoid bias and subjective decisions best?",4,1..n in source answer key; options stored as ordered positions,Bidder conference,Weighting system,Oral contract,Letter of intent,,2,B,no,"Project Management, A Systems Approach to Planning, Scheduling and Controlling by Harold Kerzner, 12th edition, page 669."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,39,"During code inspection in a major software development project, a project management team identified frequent occurrences of critical programming errors. These errors are scattered across the code and occur without a discernible pattern. Which tool is most likely to help the team identify areas of error concentration in order to develop a prioritized response strategy?",4,1..n in source answer key; options stored as ordered positions,Check sheet,Influence diagram,Decision tree,Process decision program chart,,1,A,no,"PMBOK® Guide 6th Edition, page 302."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,40,The term baseline is used in both disciplines project management and configuration management. Which statement is not true?,4,1..n in source answer key; options stored as ordered positions,Baselines in system configurations are often also referred to as deltas.,"In configuration management, baselines are used to control change.",Project management baselines are used for performance measurement.,"In project management, baselines help assess variance and trends.",,1,A,no,"PMBOK® Guide 6th Edition, pages 83, 117-119."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,41,The scope baseline includes____.,4,1..n in source answer key; options stored as ordered positions,The various management plans of the project,Schedule baseline and cost baseline,Product configuration ID and statement of work,"WBS dictionary, WBS, scope statement",,4,D,no,"PMBOK® Guide 6th Edition, page 131."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,42,During human resource planning you identified that your team members are not sufficiently qualified for their tasks. Which may be an appropriate solution to this problem?,4,1..n in source answer key; options stored as ordered positions,Reduce level of effort,Develop a training plan,Plan quality audits,Plan quality inspections,,2,B,no,"PMBOK® Guide 6th Edition, page 319 (""training"")."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,43,"You are performing a customer project for a customer in a high-context cultural environment, while you and your team are in a low context country. Different communication styles and contents repeatedly led to conflicts between the organizations. What is typical for high-context cultures?",4,1..n in source answer key; options stored as ordered positions,Technical means for communications can focus on transfer of spoken and written language.,Communication is preferred which avoids passing over a great deal of additional information.,A message has only limited meaning without an understanding of the surrounding context.,"To understand a message, no information on history or personal opinions is needed.",,3,C,no,"Mastering Virtual Teams: Strategies, Tools, and Techniques That Succeed by Deborah L. Duarte and Nancy Tennant Snyder, Second Edition, page 56."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,44,"In general, processes of configuration management do not include…",4,1..n in source answer key; options stored as ordered positions,…identification and documentation of system or item characteristics.,…controlling changes to these characteristics in an integrative fashion.,…documenting and auditing changes and the implementation status.,…assigning responsibilities for change control and documentation.,,4,D,no,"PMBOK® Guide 6th Edition, pages 118-119."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,45,The ________ is a document which describes how the project management team will implement the performing organization's quality policy.,4,1..n in source answer key; options stored as ordered positions,Quality assurance plan,Quality management plan,Quality commitment,Quality audit,,2,B,no,"PMBOK® Guide 6th Edition, page 286."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,46,What do you expect when you are submitting an invitation for bid to sellers?,4,1..n in source answer key; options stored as ordered positions,Offers which will differ significantly in solution approach and price.,Offers which are similar enough to allow a selection based on price.,Offers which are not primarily written to win against competition.,General information on a seller's ability to provide the goods or services.,,2,B,no,"Project Business Management by Oliver F. Lehmann, pages 91-92."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,47,What is important for quality auditors?,4,1..n in source answer key; options stored as ordered positions,They must be in-house personnel.,They must be external-party staff.,They must be mandated by the auditee.,They must be properly trained.,,4,D,no,"PMBOK® Guide 6th Edition, pages 294-295."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,48,Your agile team is uncertain for which elements of the project what methods should be applied. A recommendation was to follow the stages of uncertainty. Which are these stages?,4,1..n in source answer key; options stored as ordered positions,Scope change and scope creep,Internal - political – economical – external – environmental,Simple – complicated – complex - chaos,Project complexity – product complexity,,3,C,no,"Agile Practice Guide, page 14."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,49,"You are running a major project with four sub-projects. Each of the sub-project managers has developed a risk management plan, identified many risks, analyzed them and planned for risk response. It is now two months later. What should you not do?",4,1..n in source answer key; options stored as ordered positions,Ensure that they handle all risks to save you from project level risk control.,Make sure that the sub project managers monitor their project work for new and changing risks.,Make sure that the sub project managers keep track of the identified risks and those on the watch list.,Make sure that the sub-project managers monitor trigger conditions for contingency plans.,,1,A,no,"PMBOK® Guide 6th Edition, page 397."
oliver_lehmann_180_2021,180 Practice Questions - Smart Learning,https://i-mokymas.com/wp-content/uploads/2022/10/180_pmp_practice_questions_2021_edition-2.pdf,50,What is true for statistical sampling?,4,1..n in source answer key; options stored as ordered positions,"Statistical sampling can be used to verify for each individual item in a lot, whether it can be accepted or must be rejected.",Attribute sampling means collection of quantitative data showing the level of conformity for each item of a sample.,Variables sampling includes collection of quantitative data on the degree of conformity for each item of a sample.,Statistical sampling is commonly used in quality assurance to examine if items of a lot conform to quality standards.,,3,C,no,
