id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
45,"You're managing a smartphone app project at SubZero Delights, plotting
uncertainty vs. requirement uncertainty. What model is this?",Agile Model,Stacey Complexity Model,Release Model,Shu-Ha-Ri Model,,2,,"The Stacey Complexity Model maps uncertainty and agreement to assess
project complexity.",,,,,,1500_questions.txt
46,"A client verbally okays a scope change, but it's not recorded. What's
the PM's next step?",Request a formal change from the client,Consult senior management,Update the project plan,Proceed while awaiting approval,,1,,Formalizing the request ensures proper change control.,,,,,,1500_questions.txt
47,"At Fun Days Vacation Packages, you align projects with strategic goals
for resource efficiency. What's this?",Project management,Program management,Portfolio management,Project and program management,,3,,Portfolio management aligns projects with strategic objectives.,,,,,,1500_questions.txt
48,Which diagram shows project activities and their logical links?,Gantt chart,Project schedule network diagram,Milestone list,Activity list,,2,,A network diagram illustrates activity dependencies.,,,,,,1500_questions.txt
49,"The charter is ready, but the sponsor, leaving in two weeks, delays
approval for the new sponsor. Stakeholders resist waiting. The sponsor
reschedules the meeting. What technique is this?",Prevention,Smoothing,Withdrawal,Forcing,,3,,Withdrawal pauses conflict by delaying the discussion.,,,,,,1500_questions.txt
50,"Amanda, scrum master for Project DBA, has final deliverables approved.
After lessons learned and product handoff, what's next?",Release the team,Plan support,Monitor operations,Close remaining tasks,,1,,"With closure complete, the team is released.",,,,,,1500_questions.txt
51,What do project management processes ensure?,Strategic alignment,Efficient objectives,Team performance,Smooth project flow,,4,,Processes ensure effective project progression.,,,,,,1500_questions.txt
52,"A PM estimates costs with an SME who underestimates effort. How should
the PM mitigate this?",Review estimates with the SME and others,Ignore past errors,Increase SME estimates by 20%,Replace the SME,,1,,Reviewing with additional input balances the SME's tendency.,,,,,,1500_questions.txt
53,"What model classifies stakeholders by power, urgency, and legitimacy?",Salience model,Stakeholder cube,Stakeholder register,Directions of influence,,1,,The salience model uses these three attributes.,,,,,,1500_questions.txt
54,"Jenny at Ayres Company tracks vendor performance ratings. What's this
called?",Incentive contract,Seller rating system,Procurement selection,Requirement,,2,,A seller rating system logs vendor performance for future decisions.,,,,,,1500_questions.txt
55,Which knowledge area manages project information flow?,Risk Management,Integration Management,Communications Management,Quality Management,,3,,Communications Management handles info distribution.,,,,,,1500_questions.txt
56,"In which team-building phase do members adjust habits to support the
team?",Performing,Storming,Norming,Forming,,3,,Norming is when team cohesion strengthens.,,,,,,1500_questions.txt
57,"Alfred takes a security PM role he's unqualified for, planning to learn
on the job. Which value does he neglect?",Responsibility,Honor,Honesty,Respect,,1,,Responsibility requires matching skills to roles.,,,,,,1500_questions.txt
58,"What document includes project purpose, objectives, milestones, and
budget summary?",WBS,Requirements doc,Project charter,Project management plan,,3,,The charter outlines these essentials.,,,,,,1500_questions.txt
59,Collecting requirements is foundational for what in scope management?,Scope management plan,WBS,Schedule,Scope change control,,2,,Requirements shape the WBS and scope.,,,,,,1500_questions.txt
60,"For a playground project, the sponsor questions a gap between foundation
and structure work. What's this gap called?",Free float,Project float,Lag,Lead,,3,,"Lag is the intentional delay, like curing time.",,,,,,1500_questions.txt
61,"Stark Solutions builds learning software with beta releases. What's not
suitable for the first beta?",Learner ID/password,Refer-a-friend feature,Issue reporting option,Sign-up/login interface,,2,,"Refer-a-friend isn't vital for an early, non-public beta.",,,,,,1500_questions.txt
62,"Morgan, PM for the Lucenda Project (third iteration), boosts team
performance, finishing early. How can she verify improvement?",Lower failure risk,Better quality,Faster market delivery,Higher satisfaction,,3,,Reduced time to market quantifies performance gains.,,,,,,1500_questions.txt
63,"Grant reports a \$30,000 equipment cost overrun to the sponsor, who
approves reserve funds. Where are these funds from?",Management reserves,Contingency reserves,Funding limit reconciliation,Cost baseline,,1,,Management reserves cover unexpected costs.,,,,,,1500_questions.txt
64,What defines operations?,Temporary activity execution,Unique endeavor,Oversight organization,Ongoing repetitive tasks,,4,,"Operations are ongoing, unlike temporary projects.",,,,,,1500_questions.txt
65,"A team member redirects a senior manager's update request to the PM.
What guides this?",RACI matrix,Communications plan,Stakeholder register,Last week's minutes,,1,,The RACI matrix defines roles for info sharing.,,,,,,1500_questions.txt
66,"A team member's disruptive behavior upsets stakeholders. What skill does
he need most?",Interpersonal/team skills,Training,Ground rules,Team-building,,1,,Interpersonal skills address his behavior.,,,,,,1500_questions.txt
67,"The marketing director evaluates project proposals against company
goals. What's this?",Program management,Project management,Portfolio management,Agile management,,3,,Portfolio management aligns projects with strategy.,,,,,,1500_questions.txt
68,What's the diagram below?,Risk breakdown structure (RBS),Project team,SWOT Analysis,Work breakdown structure (WBS),,1,,An RBS organizes risks by category.,,,,,,1500_questions.txt
69,"Beth, PM for Project L (nine weeks in, CPI 0.95, SPI 0.98), learns a
stakeholder missed updates despite weekly emails. What's next?",Tell them to check email,Do nothing,Send a special email,Find their preferred method,,4,,Tailoring communication to their preference improves engagement.,,,,,,1500_questions.txt
70,"Edward facilitates a hybrid project meeting with diverse stakeholders.
What should he do first?",Set ground rules with attendees,Agree on scope and expectations,Use force field analysis,Promote positive behaviors,,1,,Ground rules set the tone for productive discussion.,,,,,,1500_questions.txt
71,Which tool divides project scope into manageable parts?,Decomposition,Inspection,Project analysis,Document analysis,,1,,Decomposition breaks down scope and deliverables.,,,,,,1500_questions.txt
72,When does risk monitoring and control happen?,Initiation,Work performance analysis,Project lifespan,Milestones,,3,,It's ongoing throughout the project.,,,,,,1500_questions.txt
73,A weighting system aids what in Conduct Procurements?,Plan contracting,Request seller responses,Select sellers,Plan purchases,,3,,It evaluates vendors for selection.,,,,,,1500_questions.txt
74,What's an input to Create WBS?,Requirements documentation,Scope baseline,Project charter,Validated deliverables,,1,,Requirements guide WBS creation.,,,,,,1500_questions.txt
75,"Julie's team uses personas to fix project issues. What problem did they
likely face?",Overfocus on one scenario,Lack of user-valued features,Product owner intrusion,Poor standup communication,,2,,Personas refocus on user value.,,,,,,1500_questions.txt
76,"Raj, PM at Miller Homes, walks through each phase with the client for
approval. What's this process?",Quality assurance,Quality control,Scope validation,Earned value management,,3,,Scope validation ensures formal deliverable acceptance.,,,,,,1500_questions.txt
77,"Bianca oversees a global project with stakeholders spread across the
United States, Mexico, and France. When planning communication
assumptions and constraints, which of these represents a communication
constraint for her project?",Stakeholder management,Requests for formal reports,Casual chats via web conferencing tools,The project team's geographic locations,,4,,"The team's geographic spread poses a communication constraint due to
physical distance, complicating interactions. The other options don't
inherently limit communication.",,,,,,1500_questions.txt
78,What do the ISO 9000 standards offer?,Guidelines on product manufacturing processes,Detailed steps for quality system implementation,A basic framework for quality systems,Maximum process standards to guarantee customer satisfaction,,3,,"ISO 9000 outlines core requirements for a quality system without
dictating specific implementation details.",,,,,,1500_questions.txt
79,What's excluded from project selection methods?,Alternatives analysis,NPV calculations,Benefit measurement methods,Constrained optimization analysis,,1,,"Benefit measurement and constrained optimization (mathematical models)
are essential to project selection, while alternatives analysis and cash
flow analysis are optional tools.",,,,,,1500_questions.txt
80,"Ken manages a project with virtual teams across multiple time zones. In
week three of deployment, a team complains about early meeting times.
How should Ken address this?",Ignore it---teams must adapt to time zones,Shift meetings to suit the majority,Rotate meeting times to balance the burden,Adjust meetings to favor the complaining team,,3,,"Rotating meeting times ensures fairness across all teams, boosting
morale. Favoring one group or ignoring the issue risks alienating
others.",,,,,,1500_questions.txt
81,"The sponsor of a delayed project proposes cutting quality assurance
testing time. What should the project manager do?",Conduct quality control checks,Stick to the quality management plan,Run quality audits,Alter the quality standards,,4,,"Adjusting quality requirements via change control maintains project
integrity rather than bypassing the established plan.",,,,,,1500_questions.txt
82,"Abigail wants to craft a burndown chart for her team's wall to track
progress. What's her next step before starting?",Decide if risk should be factored in,Skip ahead---none of the above,Choose between tracking hours or story points,Begin creating the chart right away,,3,,"She must decide whether to track hours or points, as this defines the
chart's structure. Risk isn't typically included, and starting without
this choice delays clarity.",,,,,,1500_questions.txt
83,"During a project's kickoff, the project manager finds gaps in the
business case. What's the best course of action?",Log the gap as a risk,Use the SOW to draft the charter,Revise the business case to limit scope,Confirm alignment with the sponsor's needs,,4,,"Reviewing with the sponsor ensures the project aligns with business
goals before proceeding.",,,,,,1500_questions.txt
84,"Eddie, a metalworking expert, is reassigned to a construction project
and feels unprepared. With help from construction veterans, how can he
maximize business value?",Test at every stage,Refine the backlog,Embrace servant leadership,Use continuous integration,,3,,"Servant leadership leverages team support and transparency, helping
Eddie deliver value despite his unfamiliarity.",,,,,,1500_questions.txt
85,Which list includes processes within Project Procurement Management?,"Plan purchases, plan contracting, request seller responses, select
sellers","Plan purchases, request seller responses, select sellers, schedule
control","Plan purchases, acquire team, request seller responses, select
sellers","Plan purchases, acquire team, contract approval, select sellers",,1,,"These four processes align with procurement management's core
activities.",,,,,,1500_questions.txt
86,"For the four-year Ellingsworth Project with 25 stakeholders, when should
Priya identify risks?",Just at the start,During execution only,Once per phase,Throughout the project,,4,,"Risk identification is ongoing, adapting to new risks as the project
evolves.",,,,,,1500_questions.txt
87,"Jeremy's team estimates a feature's duration using Fibonacci cards.
Estimates range from 5 days to 21 weeks. What's his next step?",Average the estimates,Calculate standard deviation with 5 and 21 as bounds,Have team members clarify their assumptions,Discard the outliers,,3,,"Discussing assumptions resolves discrepancies and ensures shared
understanding.",,,,,,1500_questions.txt
88,What specifies the work scope in a procurement contract?,Procurement management plan,Evaluation criteria,Work breakdown structure,Procurement statement of work,,4,,The procurement SOW defines the contracted work's scope.,,,,,,1500_questions.txt
89,"At Lightning Bolt Enterprises, you're managing a hybrid project for a
new rechargeable battery. What belongs in the project objectives?","Measurable criteria like cost, schedule, and quality",A summary of the business need,A brief product description with quantifiable requirements,Criteria from value engineering or analysis,,1,,Quantifiable criteria enable clear success measurement.,,,,,,1500_questions.txt
90,"Richard, a seasoned PM at Alpine Organization, faces skepticism from his
new team and stakeholders. How can he build trust?",Keep working---trust will come,Focus solely on key stakeholders,Prioritize the team to speed progress,Revise the communication plan,,4,,"Adjusting communication fosters engagement and trust across all
stakeholders.",,,,,,1500_questions.txt
91,"Trevor's policy research team uses a tiered review process before
publication. What type of governance is this?",Risk escalation and resolution,Stage-gate or phase reviews,Lessons learned capture,Role definitions,,2,,Stage-gate reviews involve progressive approvals at key stages.,,,,,,1500_questions.txt
92,"Sammy's financial firm faces a PR crisis. She drafts a problem list and
desired perception, then consults PR firms. What document is this?",Request for information,Statement of work,Request for quotation,Request for proposal,,4,,An RFP invites tailored solutions from vendors for unique needs.,,,,,,1500_questions.txt
93,"A PM notes three functional managers heavily influence resource
allocation. Where should this be recorded?",Stakeholder register,Stakeholder analysis,Resource management plan,Stakeholder engagement plan,,1,,"The stakeholder register logs such influence details from the Identify
Stakeholders process.",,,,,,1500_questions.txt
94,Which statement about project and product lifecycles is accurate?,One product lifecycle can include multiple project lifecycles,Product lifecycles are shorter than project lifecycles,A product lifecycle has only one project lifecycle,One project lifecycle may span multiple product lifecycles,,1,,A product's lifecycle can encompass several projects.,,,,,,1500_questions.txt
95,"After a risk brainstorming session, you ask Karen to assess the impact
of 12 key risks. What's this task?",Integrated Risk Management,Customized Risk Management,Continual improvement,Qualitative Risk Analysis,,4,,Qualitative analysis quickly evaluates risk probability and impact.,,,,,,1500_questions.txt
96,"Which process prioritizes risks by assessing their likelihood and
impact?",Qualitative risk analysis,Quantitative risk analysis,Risk management planning,Risk response planning,,1,,This process ranks risks for further action.,,,,,,1500_questions.txt
97,"What's the best project lifecycle for high change and stakeholder
involvement?",Adaptive,Reflexive,Predictive,Iterative,,1,,"Adaptive suits dynamic, stakeholder-heavy environments.",,,,,,1500_questions.txt
98,"Your virtual software team of 11, six months into a project, wants to
attend a Las Vegas conference as travel eases. How should you respond?",Suggest waiting for next year's event,Check training budget with management,Recommend smaller workshops,Attend yourself and present findings,,2,,"Supporting training boosts skills and morale, pending budget approval.",,,,,,1500_questions.txt
99,"Leading a new product ideation team, management rejects an idea for not
fitting core competencies. What's their guideline?",An assumption,A risk,A specification,A technical requirement,,1,,This is treated as a planning assumption.,,,,,,1500_questions.txt
100,"For the Angel Project, what constraint must Shanae's team consider in
planning?",Interviews with experienced SMEs,Plans from similar projects,Plans from failed similar projects,Management-assigned budget,,4,,A fixed budget shapes planning decisions.,,,,,,1500_questions.txt
101,What's an output of Plan Quality?,Project document updates,Control chart,Cost performance baseline,Organizational process asset updates,,1,,Updated documents reflect quality planning outcomes.,,,,,,1500_questions.txt
102,What involves assessing and documenting team effectiveness?,Team performance assessments,Project performance appraisals,Organizational process asset updates,Enterprise environmental factor updates,,1,,This activity evaluates team performance.,,,,,,1500_questions.txt
103,What's a tool in Perform Integrated Change Control?,Decomposition,Modeling techniques,Resource optimization,Meetings,,4,,Meetings facilitate change review and approval.,,,,,,1500_questions.txt
104,"After a status meeting, a stakeholder asks Ron, the project coordinator,
about adding scope. Ron requests written details. What's his next step?",Explain the change's impact,Perform integrated change control,Ask about further changes,Investigate the oversight,,2,,Change control ensures proper evaluation.,,,,,,1500_questions.txt
105,"The marketing director pitches Project UV2 to enhance an app's backend
for speed. What's this?",A project,Ongoing operations,A program,A phase of Project UV,,2,,"Shifting to existing tech is operational, not a unique project.",,,,,,1500_questions.txt
106,"For a construction project, a risk with a 20% chance of costing
\$150,000 occurs. What's the contingency amount?","\$150,000","\$30,000","\$75,000",Zero---risk isn't real until it happens,,2,,"Contingency is 20% of \$150,000, or \$30,000.",,,,,,1500_questions.txt
107,"Robert's school construction project involves sequential tasks. What
relationship is this?",Phase gate,Overlapping,Project dependency,Sequential,,4,,Tasks follow a consecutive order.,,,,,,1500_questions.txt
108,"For a critical project lacking historical data, what should the PM do?",Base execution on stakeholder risk tolerance,Develop a plan to prioritize opportunities and threats,"Warn the sponsor, then proceed",Create a risk plan and inform stakeholders,,4,,A risk plan addresses uncertainties proactively.,,,,,,1500_questions.txt
109,Which technique adjusts the schedule for limited resources?,Human resource planning,Fast tracking,Critical chain method,Rolling wave planning,,3,,Critical chain optimizes resource constraints.,,,,,,1500_questions.txt
110,"At SubZero Delights, you're building a GPS app and considering culture.
What helps evaluate it?",Organizational bias,Team preferences,Past project history,Behavioral patterns,,1,,Bias reflects cultural values like speed vs. stability.,,,,,,1500_questions.txt
111,In which process group does Create WBS occur?,Planning,Monitoring and Controlling,Executing,Initiating,,1,,WBS creation is a planning activity.,,,,,,1500_questions.txt
112,"For a \$1,250,000 equipment replacement project, \$702,000 is spent, and
it's 55% complete vs. a planned 60%. What's the planned value today?","\$750,000","\$1,250,000","\$702,000","\$900,200",,1,,"Planned value is 60% of \$1,250,000, or \$750,000.",,,,,,1500_questions.txt
113,"A team breaks activities into smaller parts for cost estimates. What
technique is this?",Bottom-up estimating,Analogous estimating,Parametric estimating,Three-point estimating,,1,,Bottom-up builds estimates from detailed parts.,,,,,,1500_questions.txt
114,"John asks PM Dan when team assignments will be set, though none are
issued yet. How might John know he's assigned?",He heard it informally,"Dan, a friend, tipped him off",He's pre-assigned in the charter,He snooped in Dan's files,,3,,Pre-assignments are noted in the charter.,,,,,,1500_questions.txt
115,"To replace a legacy system, a stakeholder suggests a better product.
What should the PM do?",Map benefits with stakeholders,Draft a charter for suggestions,Review past lessons for engagement,Get vendor quotes for both options,,1,,Assessing benefits aligns stakeholder input with project goals.,,,,,,1500_questions.txt
116,"Hector, a servant leader, uses PDCA. Where's he most likely to spot an
impediment?",Act,Do,Check,Plan,,3,,The Check phase reveals issues for action.,,,,,,1500_questions.txt
117,"A project manager hosts a lessons learned session with stakeholders who
hold differing views and past disputes. What tool can help engage them
constructively?",Affinity diagram,Questionnaires and surveys,Brainstorming,Facilitation,,1,,"An affinity diagram organizes ideas collaboratively, fostering
constructive dialogue among stakeholders.",,,,,,1500_questions.txt
118,"Frances, the sole expert on her firm's claims module, must adapt to
agile methods. What should she do?",Share with one colleague as a backup,Write a brief user guide,Assign herself to all related user stories,Distribute her knowledge across the team,,4,,"Sharing expertise ensures collective ownership, aligning with agile
principles.",,,,,,1500_questions.txt
119,What does \'tailoring\' refer to in project management?,Adapting processes to fit project needs,Assembling a skilled project team,Fixing defective components,"Balancing time, cost, and quality",,1,,Tailoring customizes process rigor to suit the project.,,,,,,1500_questions.txt
120,"What's the term for formal and informal interactions within an
organization or industry?",Negotiation,Organizational theory,Meeting,Networking,,4,,Networking captures both formal and informal professional exchanges.,,,,,,1500_questions.txt
121,"While finalizing a risk response plan, the team identifies extra efforts
to mitigate quality risks. What's the PM's next step?",Update project and quality plans,Conduct a make-or-buy analysis,Log efforts in organizational assets,Submit a change request for costs,,1,,Updating plans integrates the new efforts seamlessly.,,,,,,1500_questions.txt
122,"Two developers clash over coding together. Which conflict resolution
creates a win-win outcome?",Collaborating,Smoothing,Compromising,Directing,,1,,Collaborating fosters mutual agreement through open dialogue.,,,,,,1500_questions.txt
123,When should quality planning occur?,During charter development,Alongside other planning processes,Within detailed risk analysis,Separately from other planning,,2,,Quality planning integrates with overall planning efforts.,,,,,,1500_questions.txt
124,"Leslie reviews a business case at 2437 Corporation and doubts its value.
Should she worry?","No, benefits evolve over time","Yes, benefits must guide planning","No, benefits clarify later","Yes, projects need clear benefits",,4,,A project should demonstrate intended value from the start.,,,,,,1500_questions.txt
125,"A stakeholder complains about missing milestone updates. What should the
PM do?",Send a report and update change management,Check the communications plan and act,Escalate to the sponsor,Log it as a risk assumption,,2,,The communications plan dictates stakeholder update needs.,,,,,,1500_questions.txt
