id,statement,option1,option2,option3,option4,correct_answer,explanation,source
11,"You are working through the backlog with the product owner and
estimating the story cards with the development team. The team are
unsure if their estimates are accurate enough. Some of the team have
worked on similar projects in the past. What will you recommend they
use?","Analogous estimating, using actual effort from a similar feature on a
different project.","T-shirt sizing, using broad Small, Medium or Large sizes to accommodate
variation.","Three point estimating, where the team gives the average of an
optimistic, pessimistic and most likely estimate.","The product owner should estimate the story cards as they are getting
the benefit of the delivered features.",1,"While most estimation methods will do, the best one in this case is
Analogous estimating, using a similar example from a previous project.
Agile estimating is most often done by breaking down the features into
small tasks, then estimating on those tasks (bottom-up). Where that
doesn't work, Analogous estimating will fill in the blanks.",500_questions.txt
12,"While on an Agile project team, you prioritise the backlog of features
with the product owner, and agree what you will work on first. Your
project sponsor wants to know how long it will take to deliver some
value. How will you estimate how long each of these features will take
to complete?","Break down the feature into tasks or user stories, then estimate how
long those tasks will take to complete with the dev team.","Take the total number of people in the team, multiplied by the hours
worked, divided by the number of features in the backlog.","Ask the sponsor how many iterations the project is funded for, then plan
to complete the features by the end of that time.","Find a similar feature delivered by another part of the organisation,
and use that as your estimate.",1,"Agile favours a bottom-up approach to estimating, where the work is
broken down to its lowest level, typically a user story, and estimated
by the development team. This will give you an estimate of the effort
and time required to complete the feature.",500_questions.txt
13,"You are working with your Agile team on your first iteration. The
feature has been chosen by the product owner and the team breaks it down
into user stories to work on. What is a user story?","A piece of functionality small enough to be completed in one to three
days.",A description of a group of features from the viewpoint of the customer.,"A story about the end-user so the team understands the feature
completely.",A prioritised backlog that the team can choose features from.,1,"A user story is the smallest unit of work in an Agile team -- a task
that can be completed in no more than three days. If a task will take
longer, it is common to try and break it into two or more pieces to
accommodate the user story rule. Each single User Story is ideally
written from the Customer\'s viewpoint, often in the form of \""As
a\...\"" \""I want\...\"" \""So I can\...\"".",500_questions.txt
14,"You have begun a new project in a new organisation, and the project team
mentions you are working in an iterative project environment. How do you
know you are working within an iterative project life cycle?",The team iterates around one idea to make sure that idea is right.,"You are improving the product or result through successive prototypes or
proofs of concept.",The project sponsor says that the project lifecycle is iterative.,You are using Agile sprints or iterations to manage your work.,2,"An Iterative project lifecycle uses successive prototypes or proofs of
concept to gather feedback, then release the product in one go.",500_questions.txt
15,"In 2001, a group of individuals, representing the most widely used
lightweight software development methodologies, agreed on a common set
of values and principles which became known as the Agile Manifesto.
Which of the following is one of the Agile Manifesto\'s core values?",Developing as much as possible to see what gets the best result.,Finding a product owner over finding a development team.,Cross functional team members over executive buy-in.,Responding to change over following a plan.,4,"The Agile manifesto is made up of four core values, one of which values
""Responding to change over following a plan"".",500_questions.txt
16,"You are working on a project where the organisation wants to move
towards an Agile way of work. Which two project lifecycles combine to
create an Agile environment?",Iterative and Predictive lifecycles.,Incremental and Predictive lifecycles.,Iterative and Incremental lifecycles.,Predictive and Agile lifecycles.,3,"An Agile project environment is created by combining Incremental project
approaches, where smaller features are released more regularly, and
iterative project approaches, where the product improves through
iterations and is released after the feedback.",500_questions.txt
17,"You have come on board a new project team and have been advised that the
project works with a predictive style project lifecycle. How will you
know you are working in a \""Predictive\"" or Waterfall style approach?","The bulk of planning is done up front, then executed in a single,
sequential process.","The bulk of the planning is done up front, then prototypes are created
to gather feedback before releasing in one go.","A product roadmap is created and smaller features are designed and
released as part of the whole.","The project uses feature sprints, Kanban boards and retrospectives to
manage their work.",1,"A predictive or waterfall project lifecycle is defined by doing all the
planning up front, and executing in a sequential process. It is ideal
for definable work or products where the risk is well known.",500_questions.txt
18,"You are working as a project manager in an Agile team. Which of the
below are NOT examples of execution practices you will see in Agile?","Test at all levels, where the team applies end-to-end testing and unit
testing (of an individual story or feature). Agile teams prefer
automated tests.","Test-Driven Development, where the team writes automated tests before
writing the product code to help mistake-proof the product.","Spikes, which are time-boxed research or experiments and useful for
estimation, acceptance criteria definition, or learning some critical
technical or functional element.","Project management plan, where the project is planned is detail up front
to avoid misunderstanding by project stakeholders.",4,"A project management plan is a key artefact in a predictive or waterfall
project approach. Test at all levels, Test driven development and Spikes
are all Agile practices you will see.",500_questions.txt
19,"The product owner has worked with the development team to list all work
to be done, write up user stories for each feature and place them in the
product backlog. What will you do next?",Refine the backlog to ensure only important items are being worked on.,"Create the schedule management plan to ensure you know when each item
can be delivered.","Sort the items by business priority, place them in an iteration,
complete the items then remove them from the backlog.","Move the items into the requirements traceability matrix so you can
report on their progress.",3,"Managing the project requirements via the product backlog is a
fundamental Agile practice. The product backlog is the source of truth,
and is continuously re-prioritised as the work gets done to ensure
maximum value is delivered first.",500_questions.txt
20,"The business partner or product owner continuously refines, or grooms,
the product backlog. This includes adding new stories, reprioritizing
stories, and removing stories when needed. What role does the
development team take during this process?",Developing the cards as soon as they are added to ensure maximum value.,Removing cards from the backlog that do not make sense to complete.,"Estimating the work needed for each card so the product owner can
prioritise based on value and effort.","Coming to daily stand-ups to report on what was done yesterday and what
will be done today.",3,"During backlog grooming the development team is responsible for sizing
or estimating the work. This allows the product owner, business
representative or customer to prioritise effectively, based on value and
time to delivery.",500_questions.txt
21,"You are working with your Agile project team to estimate each task and
how long they might take. The team is finding it difficult to give an
exact figure, and worries that it might impact project delivery. What
can you show them, to estimate more accurately?","Ask them to estimate by whole iteration to give a little room for
variation.",Estimate the cards in full days instead of effort per card.,"Use comparative estimates or relative sizing such as T-shirt sizing or
story points.",Prioritise the backlog based on customer value.,3,"A common Agile practice is to rely on relative sizing such as story
points or ""T-Shirt sizing."" Team velocity is then measured using those
same methods as the team completes a certain amount of points per
iteration. This is easier than trying to predict an exact time period.",500_questions.txt
22,"You are an Agile project manager and talking through the iteration with
the product owner. They have created the list of items in the product
backlog, but there is confusion in the team about who should perform the
process of story card sizing. What will you tell them?",The Product Owner works through the backlog to size the story cards.,"The Agile team work together to size the story cards, relying mostly on
information from the developers and testers.","The Agile team leader or scrum master works to size the story cards for
the team.",The customer sizes the story cards to ensure maximum value.,2,"The story point sizing process is performed by the Agile team, primarily
estimated by developers and testers who will be doing the work.",500_questions.txt
23,"You have been estimating story cards with your Agile project team, but
the effort captured has not been matching the time it ends up taking to
complete. What is the most likely reason for this occurring?",The team have not included sick days in the estimate.,The team have not included testing or refactoring in the estimate.,"The team have not included time to merge the code for continuous
integration.",The team have not included the time it takes for the daily stand-up.,2,"Estimates for story cards should include all known activities required
to complete that card, including testing and refactoring, complexity and
risk.",500_questions.txt
24,"You are an Agile team leader and talking through the process for your
first retrospective. The team is curious as to what they should do. What
is the way a team retrospective would normally work?","Discuss what was successful, what could be improved, and incorporate
those into future iterations.",Discuss what the team liked about working with each other.,"Discuss what went wrong, and make sure the team knows who is to blame.",Discuss the validity of the features being developed.,1,"A team retrospective enables the team to answer questions that improve
their team process and way of work, such as ""What went well,"" ""What
could be improved,"" and ""What still puzzles me.""",500_questions.txt
25,"The 12th principle of Agile is ""At regular intervals, the team reflects
on how to become more effective, then tunes and adjusts its behaviour
accordingly."" In practice, this is a Retrospective. But what is the
practical reason for including Retrospectives in an Agile team?","It reduces the communication time between the project sponsor and the
developers.",It ensures features are released on schedule and on budget.,It helps the team learn about and improve their process over time.,"It keeps the team focused on the main feature to deliver the most
business value.",3,"Agile retrospectives help the team learn about their process and improve
it over time, through regular and structured feedback given and used as
a team.",500_questions.txt
26,"Retrospectives are typically held at the end of an iteration, but an
Agile team can also hold retrospectives at any other time. What is NOT a
time that an Agile team might hold a retrospective?",When the team completes or ships something new.,When more than a few weeks have passed since the previous retrospective.,When the team appears to be stuck and completed work is not flowing.,When the feature backlog has not been created and work is yet to begin.,4,"A team retrospective is there to gather feedback and improve on the team
process once that process is in place. It iterates towards improvement.
It is typically not held before the work or process has begun, as there
is nothing to gather feedback on yet.",500_questions.txt
27,"You are in a new project team and working through which project
lifecycle or way of work to use in order to deliver the products to your
customer, and how far to modify it. What are some of the project factors
that will influence your tailoring decisions to use Agile or other
methods?",Which project lifecycle the customer wants to use.,"What the latest lifecycle is -- the latest one must be the best and will
be most interesting to upper management.","Whether the flow of work is often interrupted by various delays or
impediments, and is easily definable or highly uncertain.","Project approaches should never be tailored - we should follow one
approach to the letter so we make no mistakes.",3,"Project lifecycles and how much you tailor them depend on many factors.
Having definable work or high uncertainty work are two common factors
that move you toward more Predictive or Incremental workflows, as is the
team's existing experience.",500_questions.txt
28,"You are in the forming stages of a new project team, and deciding on the
way of work to use when operating as a team. What are some of the
factors that will influence how you tailor the project lifecycle?",The demand pattern for value or delivery: is it steady or sporadic?,The rate of process improvement required by the team.,Is more than one team is needed to build the product?,All of the above.,4,"Project lifecycles or ways of working can be influenced by many factors
-- in fact almost everything will impact this decision. The way the
organisation works, whether the work is certain or uncertain, whether
the features are subject to change, what has worked before and what the
team is comfortable with all play a part.",500_questions.txt
29,"You are working through the backlog with the product owner and
estimating the story cards with the development team. Some of the team
have worked on similar features in the past. The team are unsure if
their estimates are accurate enough, as many of the team are new to the
project. What will you recommend they use?","Analogous estimating, using actual effort from a similar feature on a
different project.","T-shirt sizing, using broad Small, Medium or Large sizes to accommodate
variation.","Three point estimating, where the team gives the average of an
optimistic, pessimistic and most likely estimate.","The product owner should estimate the story cards as they are getting
the benefit of the delivered features.",1,"While most estimation methods will do, the best one in this case is
Analogous estimating, using a similar example from a previous project.
Agile estimating is most often done by breaking down the features into
small tasks, then estimating on those tasks (bottom-up). Where that
doesn't work, Analogous estimating will fill in the blanks.",500_questions.txt
30,"You are delivering features through your Agile project and the project
sponsor and product owner are happy with the progress. Your project
sponsor raises a concern about future items and what that development
looks like. What will you show them?","The Project Management Plan, that has outlined the project delivery in
full.","The product backlog, that has the list of features the team will
deliver.","The product roadmap, that shows planned future features and their
approximate dates, similarly to a Gantt Chart.","The team velocity chart, that shows how much the team completes each
iteration.",3,"A product roadmap is a visual display of the product releases, similar
to a Gantt Chart or project schedule but based around Agile feature
releases. It is a high level view and revised as necessary.",500_questions.txt
31,"Your Agile team is estimating story cards using planning poker. For one
of the larger features, some of the team has estimated three points,
while the others have estimated eight points. How will you guide the
team to come to an estimate?",Ask them to average out the points and assign that value to the card.,Change the method of estimating to accommodate the team decision.,Change the feature to make it easier to estimate on.,"Ask the high and low estimates to discuss their reasons, and the team to
estimate again until a consensus is reached or more information is
needed.",4,"In Planning Poker, if estimates are different, the high and low
estimators share their reasons. Once shared, the team estimates again.
The poker planning process is repeated until consensus is achieved or
until the team decides to gather more information.",500_questions.txt
32,"The Agile team is working through a particularly complex feature that is
difficult for the team find a solution for. As the Agile lead, you
recommend a spike. What is a spike?",A shifting of the feature into another iteration.,A time-boxed task to explore or investigate an issue.,"A short meeting at the beginning of the day to discuss tasks in
progress.",A demonstration of the feature to the product owner.,2,"A spike is a time-boxed task to explore or investigate an issue. It is
separate from development work and only used if something needs to be
figured out or investigated. It can be done at any time during a
project.",500_questions.txt
33,"The Agile manifesto has twelve clarifying principles added to it to help
projects and teams understand the Agile values. Which of the below is a
correct clarifying principle?",Tailor the project approach to suit the project and the team.,Ensure executive buy-in by reporting frequently to your managers.,"Deliver working software frequently, from a couple of weeks to a couple
of months, with a preference to the shorter timescale.","Ensure complete planning for your product and release once tested
thoroughly.",3,"""Deliver working software frequently, from a couple of weeks to a couple
of months, with a preference to the shorter timescale,"" is one of the
twelve Agile clarifying principles.",500_questions.txt
34,"The Agile manifesto has twelve clarifying principles added to it to help
projects and teams understand the Agile values. Which of the below is a
correct clarifying principle?","Business people should dictate to the development team what to do and
how to do it.","Developers can code and release products at a schedule that suits them,
for complete autonomy.","Business people and developers mustn\'t work together, but they can chat
about their work over lunch.","Business people and developers must work together daily throughout the
project.",4,"As you will know form the various Agile approaches, ""Business people and
developers must work together daily throughout the project"" is one of
the twelve Agile clarifying principles.",500_questions.txt
35,"The Agile manifesto has twelve clarifying principles added to it to help
projects and teams understand the Agile values. Which of the below is a
correct clarifying principle?","Build projects around a core idea, then brainstorm frequently to get the
job done.","Find the right executive support and ensure they tell you the product
requirements.","Deliver frequently whether an item has been tested or not, as quality is
everyone's responsibility.","Build projects around motivated individuals. Give them the environment
and support they need and trust them to get the job done.",4,"Agile is about building projects around motivated individuals -- the
cross functional and ""T-shaped"" team members, giving them the support
needed by removing blockers and ensuring a flow of work.",500_questions.txt
36,"The twelve Agile clarifying principles also match up with the best
advice for projects, leadership and communication. Which of the below is
a correct clarifying principle when it comes to project communication?","The most efficient and effective method of conveying information to and
within a development team is face to face conversation.","Communication is always done in writing to ensure you have ongoing proof
the communication occurred.","Agile teams ensure downward communication only so the executive in
charge directs the product features and work.","When communicating ensure to use various forms such as telephone,
writing, face-to-face, and ensure variety.",1,"An Agile team knows that communicating close in person, place and time
is the most efficient and effective way -- often in a co-located team
area so other members can pick up information by osmosis.",500_questions.txt
37,"The Agile manifesto has twelve clarifying principles added to it to help
projects and teams understand the Agile values. Which of the below is a
correct clarifying principle?",Union attendance is the best measure of team happiness.,Working software is the primary measure of progress.,Finding risks is the only way to avoid failure.,Learning new things keeps a team engaged.,2,"In an Agile team, working software is the primary measure of progress.",500_questions.txt
38,"You are new to your Agile project, and the team are working through the
forming stages. How do you help the team improve as the project
progresses?","Ensure the team holds a project post-mortem and captures the lessons
learned at the end of the project.","Hold a retrospective with the whole team at the end of each iteration
and build those lessons learned into each new iteration.","Ask the product owner to show the team where they can improve to deliver
the features they want.",Rotate tasks and roles amongst the team during each new iteration.,2,"Agile uses retrospectives at the end of each iteration with the whole
team, to ask ""What went well?"" ""What did not go well?"" What did I
learn?"" and ""What still puzzles me?"" The lessons from this session are
actioned and built back into future iterations to improve quickly.",500_questions.txt
39,"You are the Agile project manager working through the product
requirements for the product owner and executive project sponsor. The
project sponsor raises concerns that the development team do not fully
understand the requirements. What will you do next?","Show them the project management plan, which will have the scope
statement listed in the scope baseline.","Ask the team to create a high-level prototype of the requirements, then
discuss and review with all stakeholders.","Show them the project schedule, outlining each feature and their
delivery dates.",Hold a retrospective with the team to gather feedback and improve.,2,"Agile uses fast visual mock-ups or prototypes such as storyboards,
wireframes, or models, to get a quick understanding of the requirements
and consensus from all stakeholders.",500_questions.txt
40,"The scrum master on your Agile project has asked you for the total lead
time of a particular feature. You add up the cycle time of all the cards
that contributed to that feature. What other two factors must you take
into consideration when calculating total lead time?",Time for testing the code and time for merging the code.,Meeting times and lunch times,Value-added time and non-value added time,Testing and documenting,3,"Lead time is a concept from Lean and the Toyota Production System.
Whenever you are calculating Cycle time (smaller items such as
processes, story cards, or an iteration in a larger project) or Lead
time (larger items such as features or the project itself) you must take
into consideration both value-added time (that directly contributes to
the customer outcome) and non-value-added time (that does not directly
contribute to the customer outcome).",500_questions.txt
41,"When working in an Agile team it is common to use prototypes,
demonstrations and reviews, wireframes and storyboards to elicit
feedback from the customer or product owner. What is the benefit of
using these tools?",So the development team don't have to create the real thing.,So the team can get together and have another meeting.,"It allows users to create new forms that will be required for the new
system.","It allows the product owner to discuss and agree on requirements with
their stakeholders.",4,"Prototypes, wireframes and storyboards are important ways to gather
feedback, and that feedback allows all stakeholders to discuss and agree
on the requirements and product features before money is spent on actual
development.",500_questions.txt
42,"You are finishing up the first iteration on your Agile project and have
set a retrospective meeting for the whole team. One member of the team
asks why we have this meeting and if they really need to go. What will
you tell them?",It helps the team prioritise product features for the next iteration.,It allows the team to blame others when things go wrong.,"It's an opportunity for the whole team to look at their way of work and
improve.","It showcases a part of the product so everyone can see what was
delivered.",3,"Retrospectives are a set meeting at the end of each sprint that actively
ask for feedback with certain questions: What went well, what didn't go
well, what still puzzles me? The actions from these questions are built
back into the team in future iterations.",500_questions.txt
43,"You have been completing small, usable increments of value as part of
your Agile team. When reporting back to the project sponsor of this
project, the last iteration is referred to as a ""fast failure."" What
does this mean?",The iteration did not complete all the story cards in the allotted time.,The project team found a bug in the code before delivery.,"The proof-of-concept for that iteration did not have the intended
outcome.",The product backlog was not groomed in time to start the next iteration.,3,"Agile operates on the concept of delivering increments of value. Fast
failure means that particular feature or proof-of-concept effort was not
successful. By failing fast and in small increments, the project team is
able to learn and adjust quickly and at a much lower cost.",500_questions.txt
44,"The organisation you are working in has decided to move towards an Agile
way of work and project lifecycle approach. Which of the below is how
you would describe an Agile project lifecycle?","Both iterative and incremental, to refine work items and deliver
frequently.","Both iterative and predictive, to refine work items and deliver in one
go.","Both fast and furious, designed to deliver the most bang for your buck.","Both predictive and incremental, to plan carefully and deliver smaller
features.",1,"The Agile project lifecycle is a combination of Iterative (where we
gather feedback to improve) and Incremental project lifecycles (where we
deliver smaller usable features of value to our customer).",500_questions.txt
45,"There are four main lifecycle approaches to managing a project, with
variations in between. What is one of the characteristics of an
\""Iterative\"" lifecycle approach?","It does not need feedback for work in progress to reduce that work in
progress.",It allows feedback for unfinished work to improve and modify that work.,"It focuses on delivery, not feedback.",It plans the project up front and delivers in one go.,2,"An Iterative project lifecycle ""iterates"" towards success. It uses
prototypes and unreleased versions of the product to gather feedback and
improve before releasing it.",500_questions.txt
46,"You are working through a sprint planning meeting with your team. The
team have sized up the cards and prioritised the backlog. What will you
do next to determine how much work can be done during this iteration?","Count up the user stories that the product owner wants completed by the
end of the iteration.","Check the team's velocity against the number of points for the story
cards you want to complete.","Ask the Scrum Master to allocate work to each team member in the fairest
manner possible.","Look at other teams and what they did in the last iteration to give the
best idea for your team.",2,"Velocity is the amount of work (measured by points, hours, cards or
anything you wish) a team completes on average in a given sprint. By
checking the total points for the cards you wish to complete against
what is possible via the team velocity, you will know what is possible
and can adjust as necessary.",500_questions.txt
47,"You are an Agile project manager working on the next feature of your
product. The product owner has asked you for an estimate on how long the
remainder of the features may take to complete. You look to the team's
velocity chart. Why is this?","The team's average velocity across previous iterations is the best
predictor of future iterations.",The velocity ensures the team will never work harder than they have to.,"The scrum master has the final say over team velocity to ensure the work
gets done.","The velocity chart shows how quickly new items are picked up by the
team.",1,"The average velocity, or work completed during each iteration, is the
best predictor of future velocity, because previous iterations typically
include all tasks and pitfalls that may impact their work.",500_questions.txt
48,"You are the Agile lead or Scrum Master for your Agile team and planning
for the next iteration is about to begin. What will you do first?",Break down the features into user stories.,Write the story card acceptance criteria with the team.,Choose which stories the team will work on in the iteration.,"Work with the product owner to prioritises the highest value ones to
work on.",4,"During iteration planning the team should have already broken down
features into story cards. Now is the time to reprioritise the cards
that can be done based on the business value and the team velocity (what
can be completed).",500_questions.txt
49,"You are in the middle of a sprint with your Agile team, and moving the
project forward with daily stand-up meetings. What is a stand-up
meeting?","A project kick-off meeting where stakeholders must stand so everyone is
alert.","A project progress meeting where you see how proposed schedule stands up
against the actual schedule.","A very quick meeting time-boxed at 15 minutes or less, where the team
say what they have accomplished and report any blockers.",A team training meeting focused on continuous improvement of the team.,3,"The daily stand-up is a short meeting, usually around the Kanban board,
where the team say what they accomplished since yesterday, what they
will do today, and anything that is blocking their progress.",500_questions.txt
50,"You are the Agile project manager working on a software project, and the
development team have identified a major risk for the delivery of a
certain feature. That feature is not scheduled until very late in the
project. What will you do next?","Wait until later in the project, as the problem may be fixed by other
features going in.",Ask the developers to find a way to proceed without that feature.,"Plan a spike around the risk, identify a solution then prioritise that
feature earlier in development.","Remove all other story cards from the current sprint so the team can
swarm around the issue and fix it.",3,"Agile risks are prioritised early in development, to reduce and remove
those risks. Discovery work is typically done with a spike card, but
does not need to be done by the whole team. Allocate a certain amount of
time to it, then prioritise the risk early so it is taken care of and
you know what you are dealing with.",500_questions.txt
51,"Your Agile project team is using Scrum to manage the work and
deliverables for your project. Which of the below is not one of the
Scrum events or artefacts?","Product Backlog, where the product owner manages a prioritized list of
planned product items which evolves from sprint to sprint.","Sprint Backlog, which are the items selected in Sprint Planning for the
upcoming sprint.","Increments, or Features, which are all the Product Backlog items
completed during a Sprint and a step toward the main vision.","Team Area, which is where the co-located team sits for fast
collaboration.",4,"Scrum works with a Product or Feature Backlog, a Sprint Backlog, and
delivers in increments or features. Agile teams are typically
recommended to work in a co-located space to ensure fast collaboration,
however this is not one of the events or artefacts or Scrum itself.",500_questions.txt
52,"Your Agile team has been working with Scrum for some time now and have
become quite familiar with its events and ceremonies. You are asked to
explain this to other stakeholders within the organisation. What is NOT
an example of a Scrum event or ceremony?","Sprint Planning, where the Scrum team selects the highest priority
items.","Daily Scrum, where the team meets to walk through project tasks, often
on a Kanban board.","Sprint Review, where the development team gives a demo on the product to
the product owner for sign-off or change.","Change Control Board, where all proposed changes are reviewed before
adding to the backlog.",4,"The Change Control Board is a typical part of a predictive or Waterfall
project lifecycle, not an Agile or Scrum way of work. It has key
stakeholders review any changes to the pre-assigned scope, schedule or
cost, and approve or decline as the project works towards completion.",500_questions.txt
53,"Scrum is a single-team framework for managing product development. There
are certain events, ceremonies and roles and responsibilities within a
Scrum team. Which of the below is NOT a role or responsibility in a
Scrum team?","Product Owner, representing the customer and responsible for maximising
the value of the product.","Development Team, developing and testing the product, cross functional,
self-organising with all the roles needed to deliver the product.","Scrum Master, ensuring the Scrum processes such as stand-ups and
retrospectives, coaching the team and removing blockers.","Risk Manager, capturing and reviewing risks and ensuring each one has an
assigned owner.",4,"Risk and Quality are the responsibility of the whole team in an Agile
way of work, and so typically a single person is not responsible for it.
The product owner ensures the right features are delivered, the
development team ensures the code is refactored regularly, the Scrum
Master ensures the team process is improved over time, and the Quality
tester ensures features are free of defects.",500_questions.txt
54,"Servant leadership is one of the key foundations to an Agile team, where
leadership and team participation and openness are encouraged. Which of
the below is NOT one of the characteristics of a servant leader?",Promoting self-awareness and helping people grow.,Listening to others more than speaking yourself.,Serving those on the team by removing blockers.,Reporting on low-performers to ensure the team is streamlined.,4,"Agile and Servant Leadership work by building towards psychological
safety, openness, growth and ensuring work is free from blockers. It
starts with the Scrum Master or Agile coach/leader role, but expands to
the whole team.",500_questions.txt
55,"Your team are about to proceed with the development of a new product for
the organisation you work in. Depending on the product, stakeholders,
risk appetite, need for value and more, the lifecycle or way of work
will change. Which of the below represents an \""Incremental\"" lifecycle
approach?","It provides unfinished deliverables that the customer can review for
feedback.","It provides value in one release after thorough risk, quality, schedule
and scope planning.","It provides multiple finished deliverables that the customer can use
immediately.","It provides a way for the team to do less with more, by releasing only a
small feature.",3,"An Incremental project lifecycle or way of work delivers small
increments that a customer can use immediately, gain value from, and
provide feedback on.",500_questions.txt
