id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,approach,difficulty,split,source
11,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Review risk response strategies,Replace the responsible team member,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,validation,synthetic_eco_v2
12,A project manager is managing a Predictive project. A team conflict arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Analyze the situation before acting,Replace the responsible team member,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
13,A project manager is managing a Agile project. A scope change request arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,train,synthetic_eco_v2
14,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,validation,synthetic_eco_v2
15,A project manager is managing a Hybrid project. A resource shortage arises related to business. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
16,A project manager is managing a Predictive project. A resource shortage arises related to business. What should the project manager do first?,Engage the team to find a solution,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,validation,synthetic_eco_v2
17,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Engage the team to find a solution,Replace the responsible team member,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,validation,synthetic_eco_v2
18,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
19,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Escalate only after evaluation,Ignore the issue temporarily,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
20,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Replace the responsible team member,Analyze the situation before acting,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,test,synthetic_eco_v2
21,A project manager is managing a Hybrid project. A schedule delay arises related to business. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
22,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,validation,synthetic_eco_v2
23,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
24,A project manager is managing a Agile project. A stakeholder disagreement arises related to business. What should the project manager do first?,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,test,synthetic_eco_v2
25,A project manager is managing a Predictive project. A quality issue arises related to business. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,test,synthetic_eco_v2
26,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Replace the responsible team member,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
27,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,test,synthetic_eco_v2
28,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Ignore the issue temporarily,Engage the team to find a solution,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
29,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Replace the responsible team member,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
30,A project manager is managing a Predictive project. A stakeholder disagreement arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,train,synthetic_eco_v2
31,A project manager is managing a Hybrid project. A communication breakdown arises related to people. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
32,A project manager is managing a Hybrid project. A schedule delay arises related to process. What should the project manager do first?,Engage the team to find a solution,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
33,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to process. What should the project manager do first?,Escalate only after evaluation,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
34,A project manager is managing a Agile project. A risk identification arises related to people. What should the project manager do first?,Update the project plan accordingly,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,validation,synthetic_eco_v2
35,A project manager is managing a Agile project. A stakeholder disagreement arises related to business. What should the project manager do first?,Escalate only after evaluation,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
36,A project manager is managing a Hybrid project. A quality issue arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,validation,synthetic_eco_v2
37,A project manager is managing a Agile project. A stakeholder disagreement arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,test,synthetic_eco_v2
38,A project manager is managing a Predictive project. A schedule delay arises related to people. What should the project manager do first?,Update the project plan accordingly,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
39,A project manager is managing a Agile project. A risk identification arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
40,A project manager is managing a Agile project. A quality issue arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,test,synthetic_eco_v2
41,A project manager is managing a Predictive project. A quality issue arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
42,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,validation,synthetic_eco_v2
43,A project manager is managing a Predictive project. A team conflict arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
44,A project manager is managing a Agile project. A team conflict arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,validation,synthetic_eco_v2
45,A project manager is managing a Hybrid project. A quality issue arises related to business. What should the project manager do first?,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,train,synthetic_eco_v2
46,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Replace the responsible team member,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,test,synthetic_eco_v2
47,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,test,synthetic_eco_v2
48,A project manager is managing a Hybrid project. A communication breakdown arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,test,synthetic_eco_v2
49,A project manager is managing a Hybrid project. A schedule delay arises related to business. What should the project manager do first?,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,validation,synthetic_eco_v2
50,A project manager is managing a Predictive project. A risk identification arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,validation,synthetic_eco_v2
51,A project manager is managing a Hybrid project. A schedule delay arises related to business. What should the project manager do first?,Escalate only after evaluation,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
52,A project manager is managing a Predictive project. A schedule delay arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
53,A project manager is managing a Agile project. A team conflict arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
54,A project manager is managing a Agile project. A risk identification arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Escalate only after evaluation,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,test,synthetic_eco_v2
55,A project manager is managing a Predictive project. A quality issue arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,validation,synthetic_eco_v2
56,A project manager is managing a Agile project. A stakeholder disagreement arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,train,synthetic_eco_v2
57,A project manager is managing a Predictive project. A resource shortage arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,test,synthetic_eco_v2
58,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,test,synthetic_eco_v2
59,A project manager is managing a Predictive project. A schedule delay arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate only after evaluation,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,validation,synthetic_eco_v2
60,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Analyze the situation before acting,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
61,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Update the project plan accordingly,Ignore the issue temporarily,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
62,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to business. What should the project manager do first?,Update the project plan accordingly,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,test,synthetic_eco_v2
63,A project manager is managing a Predictive project. A quality issue arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Update the project plan accordingly,Replace the responsible team member,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,train,synthetic_eco_v2
64,A project manager is managing a Predictive project. A scope change request arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,test,synthetic_eco_v2
65,A project manager is managing a Predictive project. A quality issue arises related to people. What should the project manager do first?,Ignore the issue temporarily,Analyze the situation before acting,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
66,A project manager is managing a Predictive project. A quality issue arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,validation,synthetic_eco_v2
67,A project manager is managing a Agile project. A team conflict arises related to business. What should the project manager do first?,Replace the responsible team member,Facilitate a discussion with stakeholders,Ignore the issue temporarily,Escalate immediately to the sponsor,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
68,A project manager is managing a Hybrid project. A risk identification arises related to people. What should the project manager do first?,Engage the team to find a solution,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,test,synthetic_eco_v2
69,A project manager is managing a Predictive project. A scope change request arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
70,A project manager is managing a Agile project. A team conflict arises related to people. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Escalate only after evaluation,Escalate immediately to the sponsor,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
71,A project manager is managing a Hybrid project. A resource shortage arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Update the project plan accordingly,Escalate immediately to the sponsor,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
72,A project manager is managing a Predictive project. A team conflict arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
73,A project manager is managing a Agile project. A communication breakdown arises related to business. What should the project manager do first?,Review risk response strategies,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
74,A project manager is managing a Hybrid project. A scope change request arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Analyze the situation before acting,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,validation,synthetic_eco_v2
75,A project manager is managing a Hybrid project. A risk identification arises related to business. What should the project manager do first?,Escalate only after evaluation,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
76,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Engage the team to find a solution,Escalate immediately to the sponsor,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,train,synthetic_eco_v2
77,A project manager is managing a Predictive project. A scope change request arises related to business. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,validation,synthetic_eco_v2
78,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Replace the responsible team member,Facilitate a discussion with stakeholders,Ignore the issue temporarily,Escalate immediately to the sponsor,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,train,synthetic_eco_v2
79,A project manager is managing a Predictive project. A schedule delay arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,test,synthetic_eco_v2
80,A project manager is managing a Agile project. A scope change request arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Update the project plan accordingly,Ignore the issue temporarily,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
81,A project manager is managing a Predictive project. A schedule delay arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
82,A project manager is managing a Hybrid project. A communication breakdown arises related to process. What should the project manager do first?,Engage the team to find a solution,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,train,synthetic_eco_v2
83,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,validation,synthetic_eco_v2
84,A project manager is managing a Predictive project. A communication breakdown arises related to business. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,hard,test,synthetic_eco_v2
85,A project manager is managing a Predictive project. A risk identification arises related to business. What should the project manager do first?,Escalate only after evaluation,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,validation,synthetic_eco_v2
86,A project manager is managing a Agile project. A team conflict arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
87,A project manager is managing a Predictive project. A resource shortage arises related to business. What should the project manager do first?,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
88,A project manager is managing a Hybrid project. A quality issue arises related to business. What should the project manager do first?,Review risk response strategies,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,train,synthetic_eco_v2
89,A project manager is managing a Hybrid project. A communication breakdown arises related to business. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Escalate only after evaluation,Escalate immediately to the sponsor,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,validation,synthetic_eco_v2
90,A project manager is managing a Predictive project. A schedule delay arises related to people. What should the project manager do first?,Analyze the situation before acting,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
91,A project manager is managing a Predictive project. A stakeholder disagreement arises related to process. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,train,synthetic_eco_v2
92,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Ignore the issue temporarily,Analyze the situation before acting,Escalate immediately to the sponsor,Replace the responsible team member,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,validation,synthetic_eco_v2
