Peso_inicial_kg,Raça,Sexo,Idade_inicial_meses,Dieta,Clima,Temperatura_media_C,Indice_pluviometrico_mm,Peso_final_kg,Momento_ideal_abate_dias,Ganho_peso_diario_kg,Idade_inicial_anos,Classificacao,RFID
227.7,Senepol,Macho,12,Média energia,Nordeste,35.0,195.3,521.0,157,1.87,1.0,Garrote,CW7559G0N25M7JD
345.4,Angus,Fêmea,24,Alta energia,Nordeste,30.8,108.9,531.4,173,1.08,2.0,Novilha,U1XXYPM62H8I3KO
316.3,Brahman,Macho,18,Média energia,Sul,24.3,299.3,514.8,92,2.16,1.5,Novilha,9ZPU7AQ2N9A7VRY
340.9,Angus,Macho,16,Alta energia,Nordeste,33.2,86.4,518.5,176,1.01,1.3,Novilha,1RFL3NF0GBX13D7
334.2,Hereford,Fêmea,19,Média energia,Nordeste,20.7,90.9,570.7,140,1.69,1.6,Novilha,47N1OKZU2ZP6O75
289.7,Angus,Fêmea,25,Baixa energia,Nordeste,23.5,279.9,462.9,171,1.01,2.1,Vaca,65PZ8YWLJ7K8YII
338.3,Angus,Fêmea,24,Alta energia,Cerrado,33.5,17.1,541.7,115,1.77,2.0,Novilha,IIQ8G47DMLLXED2
213.3,Hereford,Fêmea,26,Baixa energia,Nordeste,23.8,212.0,467.9,145,1.76,2.2,Vaca,824MOTMZHHVV7XN
229.4,Senepol,Fêmea,28,Baixa energia,Cerrado,23.3,220.3,463.4,153,1.53,2.3,Vaca,WJO9MU5DXJJSP1V
206.8,Senepol,Fêmea,26,Média energia,Sul,22.1,252.5,414.8,97,2.14,2.2,Vaca,XBF0LEO7XRFEH69
248.8,Angus,Fêmea,29,Alta energia,Nordeste,32.9,292.6,461.8,170,1.25,2.4,Vaca,MHFTRAGQTT152IN
258.3,Hereford,Macho,29,Baixa energia,Nordeste,27.5,292.9,492.6,126,1.86,2.4,Touro,RGLLBUBJDGF9VXF
240.7,Hereford,Fêmea,13,Média energia,Nordeste,30.1,28.9,391.6,116,1.3,1.1,Novilha,0OPWVLXBAJK4F5A
324.3,Brahman,Fêmea,15,Alta energia,Sul,23.6,248.3,486.1,134,1.21,1.2,Novilha,VE9F08ZWVBDW77Q
253.5,Senepol,Fêmea,12,Alta energia,Cerrado,31.4,197.4,535.7,93,3.03,1.0,Garrote,TYFUQUO0NE3ZQWK
242.1,Nelore,Macho,15,Baixa energia,Cerrado,31.4,197.7,403.8,175,0.92,1.2,Novilha,Q7HTUK05SJOIFJ1
281.4,Senepol,Macho,29,Alta energia,Nordeste,24.7,47.2,537.4,179,1.43,2.4,Touro,35ENXZ2K81WTW95
221.1,Senepol,Fêmea,16,Baixa energia,Sul,26.2,198.6,509.1,177,1.63,1.3,Novilha,P0Q0X5KROY2C3T5
320.3,Brahman,Fêmea,26,Alta energia,Sul,23.1,294.9,510.9,126,1.51,2.2,Vaca,241TFPRTM8IX4IO
211.2,Nelore,Fêmea,19,Média energia,Sul,34.6,274.4,416.8,160,1.28,1.6,Novilha,979W8BUOZDIT1PZ
348.0,Brahman,Macho,28,Baixa energia,Sul,29.7,137.3,583.3,122,1.93,2.3,Touro,CE748GUTL3TNAZ8
315.8,Nelore,Macho,12,Baixa energia,Sul,34.0,21.6,598.1,120,2.35,1.0,Garrote,BZOQZY81PZ954LQ
229.8,Angus,Fêmea,23,Alta energia,Cerrado,24.6,115.1,521.1,144,2.02,1.9,Novilha,G9AEFQXVJM5F8MB
200.8,Nelore,Macho,26,Alta energia,Cerrado,31.7,249.7,461.7,101,2.58,2.2,Touro,0CPL6RLVU6B20KO
322.3,Brahman,Fêmea,20,Baixa energia,Cerrado,31.5,213.4,485.3,100,1.63,1.7,Novilha,5KEKVREUPDDX7H9
306.0,Senepol,Macho,18,Alta energia,Nordeste,30.4,143.2,556.4,177,1.41,1.5,Novilha,VW37LLBDK0WZ936
309.4,Nelore,Macho,13,Média energia,Sul,34.5,26.0,520.9,161,1.31,1.1,Novilha,IDLGT40K9Z2DT7M
315.7,Nelore,Fêmea,20,Alta energia,Nordeste,25.9,133.8,536.3,121,1.82,1.7,Novilha,G0ICLNEL2IUHR1K
211.1,Hereford,Fêmea,21,Média energia,Sul,22.0,146.0,368.5,146,1.08,1.8,Novilha,E8VV74B6GBKJK1Q
253.8,Senepol,Fêmea,13,Média energia,Cerrado,30.1,279.3,432.5,127,1.41,1.1,Novilha,LZOE5X62DNH2WV9
217.4,Angus,Fêmea,22,Média energia,Nordeste,30.9,195.9,486.0,149,1.8,1.8,Novilha,E47SGZF8FI1E7RQ
329.5,Brahman,Macho,24,Média energia,Cerrado,28.6,100.4,547.6,175,1.25,2.0,Novilha,WX6CUY51BB60EDF
293.5,Angus,Macho,21,Média energia,Sul,23.1,162.3,488.7,108,1.81,1.8,Novilha,DWH2GHBA4U5NOIJ
249.6,Senepol,Macho,25,Alta energia,Sul,27.6,29.2,457.2,173,1.2,2.1,Touro,CWXP9QORFNKY670
209.5,Nelore,Fêmea,29,Média energia,Sul,24.7,292.0,487.7,145,1.92,2.4,Vaca,OJ16DN34WHNLJM3
246.6,Nelore,Macho,20,Alta energia,Cerrado,26.4,114.4,508.9,103,2.55,1.7,Novilha,63B8LZ8TVU9O4RH
248.8,Senepol,Fêmea,18,Média energia,Sul,29.7,148.6,439.6,122,1.56,1.5,Novilha,OWQTUAMZ65L8UDP
309.4,Nelore,Macho,14,Baixa energia,Cerrado,31.2,113.0,477.0,99,1.69,1.2,Novilha,G5L84FBN22RLUA5
295.6,Nelore,Fêmea,17,Média energia,Nordeste,23.5,207.9,483.4,169,1.11,1.4,Novilha,KR2H1LUPNRRS6QN
333.1,Nelore,Fêmea,13,Baixa energia,Sul,26.1,202.0,621.2,153,1.88,1.1,Novilha,I1FXLGR3PDBV00V
270.8,Brahman,Macho,17,Média energia,Sul,24.0,217.4,508.0,153,1.55,1.4,Novilha,B2BVV4HYLBSLW3Z
217.9,Brahman,Fêmea,14,Média energia,Sul,23.0,87.8,447.9,151,1.52,1.2,Novilha,ZXGK43THYRCHBJB
307.0,Hereford,Fêmea,27,Média energia,Nordeste,31.8,101.5,546.5,157,1.53,2.2,Vaca,D7W87V5OUQBLUBV
314.1,Angus,Macho,19,Baixa energia,Sul,33.6,46.3,519.0,132,1.55,1.6,Novilha,K76MB37MASBB99S
284.2,Senepol,Fêmea,13,Baixa energia,Cerrado,25.6,200.1,555.3,169,1.6,1.1,Novilha,JI3J73JB6E1AMTZ
315.6,Senepol,Fêmea,28,Média energia,Cerrado,31.3,21.5,544.1,148,1.54,2.3,Vaca,O385NGE2FE0Q5DR
274.1,Senepol,Fêmea,20,Alta energia,Sul,33.5,183.3,441.6,141,1.19,1.7,Novilha,7VWMO25A7Y7C6HY
278.4,Hereford,Macho,23,Média energia,Sul,32.7,262.2,447.8,108,1.57,1.9,Novilha,7JBXGGH6LD96XCK
264.1,Brahman,Macho,14,Baixa energia,Nordeste,22.7,268.3,494.6,110,2.1,1.2,Novilha,1ZTDYDBMFJ61B8J
203.8,Hereford,Fêmea,22,Média energia,Nordeste,34.3,140.2,494.3,111,2.62,1.8,Novilha,OW26OQZZ0H8NMJC
216.2,Senepol,Macho,12,Baixa energia,Nordeste,25.7,143.2,412.5,98,2.0,1.0,Garrote,4128V7GM708QQX0
204.7,Angus,Fêmea,24,Baixa energia,Sul,25.1,32.3,485.1,98,2.86,2.0,Novilha,0DQA9QVDRNF5E84
295.5,Nelore,Fêmea,26,Baixa energia,Nordeste,20.9,204.5,560.1,162,1.63,2.2,Vaca,ZBJY0JHCAPRXT2O
247.2,Brahman,Fêmea,16,Média energia,Nordeste,27.3,248.2,434.4,116,1.61,1.3,Novilha,6VOYV3M05BIQTCA
276.3,Brahman,Fêmea,28,Baixa energia,Cerrado,21.6,80.9,431.8,106,1.47,2.3,Vaca,Z2ST1Y4NFVB3I1X
336.1,Hereford,Fêmea,17,Baixa energia,Nordeste,23.7,132.2,501.4,133,1.24,1.4,Novilha,YT50ST0310MQUY5
237.4,Brahman,Macho,22,Média energia,Cerrado,24.8,253.3,496.7,134,1.94,1.8,Novilha,IUD7XO1HYRZZ7KZ
261.6,Senepol,Fêmea,29,Baixa energia,Cerrado,32.1,264.4,441.6,97,1.86,2.4,Vaca,22W07675MAXPGVM
313.3,Senepol,Macho,15,Média energia,Nordeste,33.1,80.5,519.0,169,1.22,1.2,Novilha,5I36RWV1LVNQZ8P
234.3,Hereford,Macho,14,Baixa energia,Cerrado,24.5,169.7,459.6,107,2.11,1.2,Novilha,7380UCR0HKOZ6GS
211.5,Senepol,Fêmea,24,Alta energia,Sul,32.9,65.8,470.3,122,2.12,2.0,Novilha,2V4AW7RAZ62P4DI
243.5,Angus,Fêmea,20,Alta energia,Sul,32.9,39.5,410.5,90,1.86,1.7,Novilha,K4CXZ221GP6EUYN
224.2,Hereford,Macho,17,Baixa energia,Nordeste,31.5,274.2,435.2,165,1.28,1.4,Novilha,8P4S3X4EE6FIRG2
339.5,Angus,Macho,23,Alta energia,Sul,22.2,247.9,562.3,95,2.35,1.9,Novilha,V8170S4WT2W2YKE
321.2,Nelore,Macho,13,Média energia,Cerrado,30.4,230.4,552.3,130,1.78,1.1,Novilha,Y7HNRJV9OEWX50C
295.0,Angus,Fêmea,14,Alta energia,Sul,34.2,24.1,567.8,144,1.89,1.2,Novilha,ZXAA2V3VHV98R8W
330.7,Nelore,Macho,14,Baixa energia,Nordeste,30.2,254.7,506.5,94,1.87,1.2,Novilha,6ELXGRPS8W4C6F9
320.6,Nelore,Fêmea,23,Baixa energia,Nordeste,25.0,137.0,591.8,148,1.83,1.9,Novilha,33B9KYW3UNQBXPZ
228.0,Angus,Fêmea,26,Média energia,Cerrado,27.5,109.3,481.9,169,1.5,2.2,Vaca,BTKMYDUG1QFN6Z9
333.9,Hereford,Fêmea,20,Baixa energia,Nordeste,29.7,168.5,567.3,107,2.18,1.7,Novilha,K9295VBYBCVV4OL
280.9,Senepol,Macho,19,Média energia,Sul,27.7,36.5,535.8,138,1.85,1.6,Novilha,7J7Q5ZXSU3RWJKS
321.1,Senepol,Fêmea,22,Alta energia,Nordeste,21.8,229.4,532.9,171,1.24,1.8,Novilha,B2YKU1O3G53JGC8
334.4,Nelore,Fêmea,27,Alta energia,Cerrado,24.7,178.9,505.2,154,1.11,2.2,Vaca,8USFUQAKBK07TS8
247.7,Nelore,Fêmea,15,Média energia,Nordeste,32.0,64.1,497.6,172,1.45,1.2,Novilha,XWYI9896QQ145LM
216.5,Hereford,Fêmea,12,Média energia,Sul,32.9,64.6,445.2,143,1.6,1.0,Garrote,G25YGJSWIUYP356
234.2,Brahman,Fêmea,18,Baixa energia,Cerrado,22.1,63.4,480.1,150,1.64,1.5,Novilha,9IDHTP90YCMG4ZC
264.1,Angus,Macho,13,Alta energia,Sul,34.3,26.5,464.8,97,2.07,1.1,Novilha,0VH0CRBIU0O0R7I
322.7,Nelore,Fêmea,16,Média energia,Cerrado,24.9,180.5,608.7,92,3.11,1.3,Novilha,Z5G0605VWS4AINP
329.1,Senepol,Fêmea,18,Alta energia,Nordeste,29.9,253.7,567.2,114,2.09,1.5,Novilha,NWT9VP3LP14BJPG
201.0,Hereford,Macho,15,Média energia,Cerrado,31.3,15.1,363.8,158,1.03,1.2,Novilha,CTDGBRC4ISMT3O4
276.6,Angus,Fêmea,16,Alta energia,Cerrado,32.2,24.2,494.1,144,1.51,1.3,Novilha,GO7JJDSX1G75G07
262.6,Hereford,Macho,12,Baixa energia,Nordeste,34.2,176.1,526.1,129,2.04,1.0,Garrote,XOUUUCITBI1YP6Q
233.3,Angus,Fêmea,12,Alta energia,Sul,24.7,247.7,502.4,172,1.56,1.0,Garrote,4E8EAOJV6R8ESGY
218.0,Angus,Macho,26,Alta energia,Nordeste,32.9,104.8,442.2,171,1.31,2.2,Touro,PMFSO57PJQJCJ1Y
250.6,Nelore,Macho,21,Alta energia,Cerrado,22.0,111.4,534.8,139,2.04,1.8,Novilha,1NR4Y52IPT31RS3
341.4,Hereford,Fêmea,29,Alta energia,Nordeste,30.6,182.9,531.6,122,1.56,2.4,Vaca,LFNTJPJBH94WSI7
248.5,Hereford,Fêmea,14,Alta energia,Cerrado,31.1,89.5,460.1,107,1.98,1.2,Novilha,1CCOVJ48UDD2Q30
277.8,Senepol,Fêmea,22,Baixa energia,Nordeste,30.2,17.7,562.6,146,1.95,1.8,Novilha,6H01TK35K4WSTU6
305.5,Senepol,Macho,26,Média energia,Nordeste,23.8,223.2,589.9,105,2.71,2.2,Touro,HDC5ST5M23IZ5XR
254.5,Nelore,Macho,22,Alta energia,Sul,33.1,191.4,507.4,169,1.5,1.8,Novilha,98THMOKWMLNBKMV
345.8,Nelore,Macho,28,Baixa energia,Cerrado,22.5,178.4,624.6,127,2.2,2.3,Touro,1WZWW4EHLX5920G
344.4,Brahman,Fêmea,28,Alta energia,Sul,20.8,225.1,507.7,130,1.26,2.3,Vaca,687IL85LMF0G5ES
237.8,Senepol,Macho,17,Alta energia,Cerrado,30.8,205.8,517.5,96,2.91,1.4,Novilha,PHMMI5QHF0RT5LD
274.6,Angus,Macho,16,Média energia,Nordeste,27.1,69.7,472.7,167,1.19,1.3,Novilha,COW26I1EJ7KHIM8
245.1,Hereford,Fêmea,19,Alta energia,Cerrado,32.7,112.2,421.8,142,1.24,1.6,Novilha,QJ2U6WFV03DO42I
242.7,Nelore,Macho,13,Baixa energia,Sul,25.8,46.6,428.6,152,1.22,1.1,Novilha,AEDTXKQCPBCEX7L
205.5,Hereford,Macho,27,Baixa energia,Sul,22.5,47.7,418.2,178,1.19,2.2,Touro,FW82JIGC26IK9N6
291.4,Hereford,Fêmea,23,Média energia,Sul,32.5,206.1,479.1,121,1.55,1.9,Novilha,CQ9TLPXDHWOXG9Z
275.4,Brahman,Macho,17,Alta energia,Cerrado,28.2,259.0,473.5,127,1.56,1.4,Novilha,KNGC3J2CW5OB8PT
207.7,Senepol,Fêmea,12,Baixa energia,Sul,22.8,289.2,377.9,111,1.53,1.0,Garrote,KPQ5CXKADSONTTD
241.8,Nelore,Fêmea,15,Alta energia,Sul,30.8,192.2,436.2,105,1.85,1.2,Novilha,U7IUMB6BHRJ22UX
336.2,Hereford,Fêmea,28,Alta energia,Sul,27.7,63.4,572.0,141,1.67,2.3,Vaca,158HPLN69Q7MG6W
235.9,Nelore,Fêmea,24,Alta energia,Nordeste,29.1,40.6,452.2,118,1.83,2.0,Novilha,SIPIIKCATBYUHAT
221.7,Angus,Fêmea,29,Média energia,Nordeste,26.9,245.7,423.7,105,1.92,2.4,Vaca,1ZS608QLKIEUNP3
273.4,Brahman,Macho,16,Alta energia,Cerrado,32.4,177.8,535.4,165,1.59,1.3,Novilha,7DJ757F3GJ193QD
347.8,Angus,Macho,14,Baixa energia,Cerrado,32.4,189.3,631.8,106,2.68,1.2,Novilha,JB1NMRCQYHIDJFR
236.3,Nelore,Fêmea,22,Alta energia,Sul,30.6,236.6,499.8,153,1.72,1.8,Novilha,017R353DPKAV4OG
300.8,Nelore,Fêmea,24,Baixa energia,Nordeste,21.6,214.0,500.6,178,1.12,2.0,Novilha,MQQ2D071DEICN8U
314.2,Senepol,Macho,15,Alta energia,Sul,32.6,252.0,575.9,102,2.57,1.2,Novilha,KVJ63QT84KRH2D6
235.6,Hereford,Fêmea,25,Baixa energia,Sul,30.1,26.3,408.4,161,1.07,2.1,Vaca,HJIUHEN5LCKWFIX
309.2,Hereford,Fêmea,22,Baixa energia,Nordeste,30.5,226.8,478.7,145,1.17,1.8,Novilha,O45FTIV764UHACZ
255.2,Angus,Fêmea,21,Alta energia,Nordeste,25.4,256.7,457.0,94,2.15,1.8,Novilha,58I6DI9ZP5233P3
294.8,Brahman,Macho,29,Alta energia,Nordeste,33.2,93.0,566.0,101,2.69,2.4,Touro,4BE8ZMKCJZQCDDX
295.0,Hereford,Macho,17,Baixa energia,Cerrado,30.9,195.7,482.0,130,1.44,1.4,Novilha,QVBLL1HH4WSLZ6X
280.4,Senepol,Fêmea,26,Média energia,Cerrado,21.7,101.1,439.9,92,1.73,2.2,Vaca,APZB1ISOFY06ETT
213.5,Angus,Fêmea,21,Alta energia,Sul,26.1,287.8,383.3,122,1.39,1.8,Novilha,BQKHYCOUAE2RR9W
325.3,Angus,Macho,16,Média energia,Cerrado,33.3,19.7,604.1,175,1.59,1.3,Novilha,JC37L4GMGMNGFFM
248.1,Senepol,Macho,16,Alta energia,Nordeste,20.7,178.1,493.2,139,1.76,1.3,Novilha,444MH9PL1JKK0FJ
228.0,Brahman,Fêmea,21,Alta energia,Nordeste,34.4,58.3,416.0,145,1.3,1.8,Novilha,WHNB73VI58CPUN8
206.1,Senepol,Fêmea,16,Alta energia,Cerrado,30.2,216.5,439.4,98,2.38,1.3,Novilha,6JQZCXRRO3KKZCD
288.6,Brahman,Macho,14,Alta energia,Sul,29.5,61.0,517.7,171,1.34,1.2,Novilha,GH08308YWJQ69PU
301.6,Senepol,Macho,17,Média energia,Sul,24.1,78.3,549.9,139,1.79,1.4,Novilha,U5EJ786FKAVI468
202.5,Senepol,Macho,15,Alta energia,Cerrado,23.7,153.4,387.5,118,1.57,1.2,Novilha,QSVIM0SFP49AIWQ
276.8,Nelore,Fêmea,29,Baixa energia,Sul,34.1,275.3,556.5,128,2.19,2.4,Vaca,8J0OASQFIOLMRZE
234.0,Angus,Macho,20,Baixa energia,Sul,24.5,71.4,430.4,134,1.47,1.7,Novilha,XE0BV33FR7JQEG8
296.8,Senepol,Fêmea,28,Média energia,Sul,31.6,51.8,550.9,106,2.4,2.3,Vaca,J10OBCCVH0AVFZL
226.2,Senepol,Macho,24,Alta energia,Nordeste,25.9,230.1,378.6,145,1.05,2.0,Novilha,VPC9UT43LYMGTXS
303.6,Hereford,Macho,26,Baixa energia,Nordeste,22.1,155.2,509.5,135,1.53,2.2,Touro,QDAIHYW00P68WK2
258.0,Angus,Macho,28,Média energia,Cerrado,20.2,274.4,460.8,156,1.3,2.3,Touro,W96IJ2JTK8QJBZR
340.5,Hereford,Macho,24,Alta energia,Nordeste,28.2,52.5,572.0,158,1.47,2.0,Novilha,9C85KWGRKD2YAMU
220.6,Angus,Fêmea,27,Baixa energia,Sul,34.6,197.3,381.5,103,1.56,2.2,Vaca,49T643PU8A5KQ5S
251.2,Hereford,Fêmea,15,Baixa energia,Nordeste,25.5,77.5,519.7,156,1.72,1.2,Novilha,ZWYTXQJOQOIYNO9
217.0,Senepol,Macho,16,Média energia,Cerrado,25.4,55.5,399.7,112,1.63,1.3,Novilha,P55QKVYKIK0HZKT
338.7,Senepol,Fêmea,16,Alta energia,Nordeste,25.2,208.2,590.3,150,1.68,1.3,Novilha,H49KF3SHWW3BDN3
331.6,Nelore,Macho,20,Alta energia,Sul,27.8,182.2,602.1,112,2.42,1.7,Novilha,J63URRXPK675XLO
238.7,Hereford,Macho,28,Baixa energia,Sul,26.6,228.9,473.0,116,2.02,2.3,Touro,ZVZYDFMTIBQRFQJ
299.0,Brahman,Macho,24,Baixa energia,Cerrado,33.2,99.7,560.1,143,1.83,2.0,Novilha,J0LIPPP8POPQVJK
322.6,Nelore,Macho,13,Baixa energia,Nordeste,27.6,139.9,571.9,99,2.52,1.1,Novilha,NZJ4SO7UH249WL9
283.3,Hereford,Fêmea,24,Alta energia,Nordeste,27.6,127.6,486.6,178,1.14,2.0,Novilha,2Y3843HHWSTL06O
279.4,Hereford,Macho,14,Média energia,Nordeste,22.1,295.4,550.7,166,1.63,1.2,Novilha,9Y2V8Z65GTDN3XW
236.3,Nelore,Macho,21,Média energia,Sul,34.7,94.8,430.5,105,1.85,1.8,Novilha,QJMN38EE07N0EYR
214.0,Senepol,Fêmea,13,Alta energia,Cerrado,23.7,95.5,449.7,130,1.81,1.1,Novilha,TEZ3MHBKSBR59RF
334.6,Hereford,Macho,24,Média energia,Nordeste,21.1,112.8,596.4,144,1.82,2.0,Novilha,01IN4809QW5R64I
335.1,Senepol,Macho,28,Baixa energia,Sul,29.9,173.7,541.9,150,1.38,2.3,Touro,4LM5KJ82N2CA9X2
295.0,Nelore,Macho,25,Média energia,Sul,28.9,83.2,490.4,175,1.12,2.1,Touro,MTNE270UG0M2YMU
250.9,Senepol,Fêmea,23,Média energia,Sul,26.2,275.4,469.8,170,1.29,1.9,Novilha,W5BH4GF0L5TTOKS
252.4,Angus,Macho,23,Média energia,Nordeste,26.3,87.0,525.1,176,1.55,1.9,Novilha,BOQD1GMF9RKTQEI
308.9,Brahman,Fêmea,22,Baixa energia,Nordeste,31.8,269.8,598.4,138,2.1,1.8,Novilha,TAHOPAFM2FBDS2K
334.6,Hereford,Macho,18,Alta energia,Nordeste,22.9,40.0,566.4,162,1.43,1.5,Novilha,J0KZ5YEX6UMMLCN
